Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
Mko0012,@Mko0012147927,@KenyaPower_Care The transformer on city park drive has exploded. When will this be attended to ?,Jun 22,,,,,
Barry,@BarrySnre,"@KenyaPower_Care @KenyaPower 
Yesterday at 1440hrs guys from KPLC came and removed transformer atpipeline embakasi Bimji ground. No replacement has been made upto now and i have milk business at this area the freezer is off and i've 150ltrs of milk which can spoil kindly help",Jun 22,1,,4,,
Peter Kinyanjui Njenga,@PeterKinya31065,"@KenyaPower_Care 

We have a problem here in kariobangi north kanyama road near jamii kipawa hospital... there's a transformer problem since last night which has not been fixed http://yet.it has affected the nearby building",Jun 22,,,1,,
Street Economist,@SteetEcon,"Hello @KenyaPower_Care we are really going Losses after our transformer was switched off on Wednesday till now for unknown reasons. This is in Kobil area, near Penda hospital. A whole line has been in darkness for all this time and losses are too much. Kindly do smthng.",Jun 22,1,,1,,
MinC,@aswangari,+254727372807 this emergency number in Meru is not being picked and our transformer near our houses is producing fire,Jun 22,,,2,,
Siman,@muniramuha,"@KenyaPower_Care Morning hatuna stima Tudor transformer, please check that out. we have been having a problem with electricity in this area",Jun 22,,,,,
Hope Ntalami,@HNtalami,"We have had no transformer for two good months, you guys are jokers",Jun 22,,,,,
Tutor Smith k,@JayneKirika,"@KenyaPower_Care 
They disconnected the electricity at our farm house,it's been 4 days bt they haven't reconnected yet the whole bill was cleared 2 days ago....meternumber #42577201 
Kindly do something",June 22,,,3,,
Jackline Kimani,@JacklineKimani4,@KenyaPower_Care @EPRA_Ke  power disconnected at Honey Suckle Apartments phase 1 in Embakasi Pipeline  in day 2 without action from the team... No response at all... Every other buildings around are lighted except the estate phase 1... What did you take from the transformer?,Jun 21,,,,,
Samrah Moses,@egyptiansushi22,"Hello, kindly please check on the transformer in Kisauni area near Samz Beauty Shop. The electricity keeps going in and out.",Jun 21,,,2,,
Cliff The Cliff,@CliffTheCliff1,Hello. We have not had electricity at Kiongwani village since April. When your technicians came to fix they claim they were disrespected by a lady owner of the land where the transformer is installed. Please help. Meter Number 35515857,Jun 21,,,1,,
Jamoh Muendo,@JamohMax,"@KenyaPower_Care Hello.. my account 40766966.
This power bill has been disconnected...
Payments done yesterday..
Kindly note this account has been disconnected again today after reconnection yesterday..

I don't have any bedding bill ..  I have over payments even",June 21,,,1,,
Dr. McSTEMI,@Cardi_O_Logist,@KenyaPower_Care Is your pay bill system down?,June 21,1,,,,
Sam Akwale,@SAkhwale,@KenyaPower_Care Is *977# functional or what is happening? Need to know my bill to pay.,June 21,,,,,
That Guy Kane,@Ken_Osidiana,@KenyaPower_Care your pay bill isnt working why?,June 21,,,,,
K_M,@KateMuriithi,"@KenyaPower_Care Again i ask, mliweka transformer mpya ya nini? There has been no change, power still goes off every single day, what a load of nonsense! Ovyo kabisaa a/c 14104535308",Jun 20,,,3,,
Lillyan Mutua,@brightstar115,"@KenyaPower_Care @KenyaPower @KiambuCountyGov @Ma3Route @KWamatangi Power blackout around sigona & zambezi area Kikuyu, since 9:30pm last night. What is the fault? Poweroutage, disruption, fallen line or vanalized transformer. Come to our aid soonest. Landmark Sigona golf club",Jun 20,,,1,,
Sabertooth,@AndeQar,"@KenyaPower_Care can we get a conclusive solution mtr no 1440-2532-403 something is causing an issue making the transformer spark..no power at the moment please solve it
#RejectFinamcebill2024",Jun 20,,,,,
KD~,@khoga_daniel,Why did you disconnect our transformer without notice @KenyaPower_Care ? A/C No. 37181861131.,Jun 20,,,2,,
eric,@Ericabneramara,"No transformer at siaya county,  jina area for more than 4months now. Sijui Kplc Ugunja wanafanya nini to  solve the problem!",Jun 20,,,1,,
JF Kennedy  Jr.,@SHEIKH_KEN,This is day three without power and your staff were on the ground yesterday and they did nothing. The transformer blew up on Monday. What is it that you are doing to give us a new transformer.,Jun 20,,,,,
:):,@alexxxffs,"Transformers ilichomeka February katikati and we have tried reaching your officers only for them to ask for 200k bribe!!Stima ata haiwezi washa microwave muwache ufala ata nynyi 
#REJECTFINANCEBILL2024",Jun 20,,,1,,
David,@David8013316828,"Our transformer was taken and had not been replaced upto date .. Rongo, ndegoriedo center",Jun 20,,,1,,
thee mysterious chief,@kodikayaz,Reject finance bill..stop this nonsense,June 20,,,,,
Jane Mulwa,@janekalmulwa,@KenyaPower_Care please Kenya power update your systems nimetoka kureject finance bill kuingia kwa nyumba nibuy tokens munaniambia it systems are  experiencing delays....,June 20,,,1,,
Shigs,@TonyShigoli,@KenyaPower_Care unable to buy tokens. Is there a problem with your pay bill? Account 04214986988.,June 20,2,,3,,
BILL_SAFU,@Bill_safu,"Hey,am unable to purchase tokens,meter number-37196273421,kindly assist",June 20,,,5,,
Lulu,@lulukanja,@KenyaPower_Care Am about to reject you like the finance bill. Everyday kwani battery za stima zimelost????,June 20,,,1,,
BILL_SAFU,@Bill_safu,Trying to load tokens but keep on rejecting. No mistake on the meter number - 37196273421 is my meter number,June 20,,1,1,,
Catch-King,@BrianMayans,Ata nyinyi mnareject finance bill? It's been an hour sipati tokens. Transaction code SFK83ZHYOA,June 20,,,2,,
Mwîteteri,@kagwi_njeri,"@KenyaPower_Care even your app isn't working.
Update us on what is happening.
Bought token today sijapata token
Ata yenye nawachiwa na finance bill mnataka kuchukua",June 20,,,1,,
Tracy,@tracshiko,@KenyaPower_Care your pay bill is not working please assist.,June 20,,,2,,
Adeh,@Adeh96720505,"@KenyaPower_Care kindly send your team to reconnect power. The outstanding bills have been cleaned but still we have no power. Our landmark is Marca apartments we're directly opposite them, there's also an SDA church around there. This is in Utawala",June 20,,,1,,
Catch-King,@BrianMayans,Ata nyinyi mnareject finance bill? It's been an hour sipati tokens. Transaction code SFK83ZHYOA,June 20,,,2,,
Mwîteteri,@kagwi_njeri,"@KenyaPower_Care even your app isn't working.
Update us on what is happening.
Bought token today sijapata token
Ata yenye nawachiwa na finance bill mnataka kuchukua",June 20,,,1,,
Tracy,@tracshiko,@KenyaPower_Care your pay bill is not working please assist.,June 20,,,2,,
Adeh,@Adeh96720505,"@KenyaPower_Care kindly send your team to reconnect power. The outstanding bills have been cleaned but still we have no power. Our landmark is Marca apartments we're directly opposite them, there's also an SDA church around there. This is in Utawala",June 20,,,1,,
BILL_SAFU,@Bill_safu,Same here,June 20,,,,,
Owino Invictus,@invictus_owino,"@KenyaPower_Care  we want to watch finance bill....
Blackout ya nini....
#RejectTheFillanceBill2024 
#RejectFinanceBill2024 
#REJECTFINANCEBILL2024",June 20,,,1,,
Ochieng_McDwallo,@jfochieng,@KenyaPower_Care @KenyaPower why disconnect power to the entire Bandari Estate in South C because some residents have not paid their electricity bills yet every unit has its own meter? Why the blanket punishment?,June 20,,,1,,
Peace_me,@UnHiNgeD_py,"@KenyaPower_Care  When we're done with rejecting the finance bill, I'll be sure to meet you in court and in the streets.  
We cannot be paying exaggerated electricity bills yet hatuna stima from morning till evening.",June 20,,,,,
BILL_SAFU,@Bill_safu,Trying to load tokens but keep on rejecting. No mistake on the meter number - 37196273421 is my meter number,June 20,,,1,,
Geoffrey Otieno,@Ondhiro,"Thanks a lot.
The transformer was replaced.",Jun 19,,,1,,
KamiriJames,@JamesKamir11261,"@KenyaPower_Care @KenyaPower 
14286760195 Kindly restore the fuse that has been giving us powerless nights at Muthiga, transformer at Zawadi School along Wambaa road.",Jun 19,,,1,,
Powell,@powellragot,@KenyaPower_Care  kindly check athi river devki area next to 67 hotels. Low voltage after the transformer issues.,Jun 19,,,1,,
Nyce Byte,@nyce_byte47,@KenyaPower_Care Kindly STOP! frustrating our business in Gachie due to a blown transformer fuse near smart home supermarket ; it's been four days now,Jun 19,,,5,,
Buggz,@spike_gg,"@KenyaPower_Care 
Hallo
One phase has no power 
Community road near midland school
Transformers blew up last evening with a blast.",Jun 19,,,1,,
K_M,@KateMuriithi,"@KenyaPower_Care Mliweka transformer mpya ya nini,no change as power still goes off . Ovyo kabisa, the most annoying co. in KE a/c 14104535308",Jun 19,,1,2,,
Irene Kendi,@KhendieIryne,@KenyaPower_Care explain to me how one tenants failure to pay their bill warrants the rest of the tenants not having electricity? How do you disconnect power for others who have paid. Why do others have to suffer. And who compensates for the losses?,June 19,,,2,,
Alex,@iMuthembaa,Areas whose Mps are voting yes for the finance bill,June 19,1,,,,
JF Kennedy  Jr.,@SHEIKH_KEN,"@KenyaPower_Care @KenyaPower For the second day running Kingeero, Kamutiini and Lower Kabete areas have no power. Is this a new way of protesting or keeping us from watching the punitive finance bill?",June 19,,2,3,,
fishing in a suit,@DT_Valerie,@KenyaPower_Care if your power has been disconnected from the pole cause of outstanding bill. What charges am I suppose to pay before they do a reconnection,June 19,,,5,,
Kamau N Maurice,@KamauD33,"@KenyaPower_Care @KenyaPower Meter No. 14105514997 
This transformer that blinks more than an eye of a coward has overstayed our patience. You'll remove it. And you are going to restore power completely. That one you'll do in our terms since it seems you are okay with mediocrity",Jun 18,,,,,
Sherry,@SherryKimani07,"@KenyaPower_Care  good evening we have been in darkness for nearly two weeks @sanford you took the transformer and didn't get any feedback, are you even considering businesses using electricity with this budget and us doing online business,ama Ruto amesema msiturudishie stima smh",Jun 18,1,1,1,,
Tim James Musumba,@TimMusumba,"@KenyaPower_Care It is the 18th of June, 2024 and now the 4th week running without power in Vihiga County, East Bunyore because of a blown transformer @davis_chirchir @OsotsiHon . What is really going on? You cannot KEEP LYING to me that your following up on the issue!",Jun 18,,,2,,
Tim James Musumba,@TimMusumba,"How long is it taking to replace this transformer? A whole year? Do you know the inconvenience you have caused me! I have to have my phone's, laptop and spot lights  charged every other day kilometers away! Do you know security has now been compromised because of no POWER?",Jun 18,,,1,,
Bōitumęlō,@theonlybee3000,@KenyaPower_Care kuwa serious please transformer yenu inachomeka hapa and you aren't responding,Jun 18,,,1,,
jared goy,@GoyJared,"@KenyaPower_Care 
We are in darkness due to non-functional transformer. Please send your team to fix the problem. Location is Homa-Bay County, Alalo Area. Closest school/landmark is Roba Primary School. All details in DM.",Jun 18,,,2,,
Venus29w19,@venusgoitrAight,Faulty transformer in the Etago stage that was sizzling with sparks and no power since yesterday. When will it be fixed?,Jun 18,,,,,
Madelyn Stuttgart,@mercy_ngondi,"Please kplc aky mbona mnatutesa ivo,, kayole matopeni area near police station we have been in the dark for weeks now due to transformer failure,,any update on when we will get connected again,,, saa mbunge leo hatuoni what going on surely,,",Jun 18,,,,,
Professor Njagi,@niwanjagi,"@KenyaPower_Care 
The woes of the people. How does Kenya Power allow tenant bills to accumulate then punish the landlords?",June 18,,,,,
Danny Phantom,@curtiscarlton9,In my home stead their no electricity for one month and have paid my bills,June 18,,,1,,
Vina Naomi,@VinaNaomi3,Kindly bring back electricity around Kasarani or else we deem you as part of group supporting finance bill,June 18,,,1,,
jasiranga,@Jasiranga,@KenyaPower_Care confirm electric bill,June 18,,,,,
fishing in a suit,@DT_Valerie,@KenyaPower_Care how long does it take for a reconnection after paying all the necessary fees and the outstanding bill,June 18,,,,,
Person Of House 𝕏,@BossGe_,"@KenyaPower_Care Our transformer exploded on Friday night. Today is Monday. 3 Days we are waiting for your technicians who said they were going to import transformers. 

Hii ni mchezo aina gani sasa 
Matolani Lane —Umoja 1 
@Hon_Kawaya @EnergyMinK",Jun 17,,,1,,
Martin miriti,@Thebigmiriti,"@KenyaPower_Care 
Ticket no.11431091
One year later your team keep visiting the area with no feedback for just replacement of a small transformer.
The school is just next and it's evident it's risky to the school properties and village at large.
Would appreciate quick response.",Jun 17,,,,,
Dan Odero,@DanOder0,@KenyaPower_Care this transformer support on Kibera Station Rd off Ngong Rd requires attention in time,Jun 17,,,,,
Arnold,@arnoFRB,@KenyaPower_Care  @KenyaPower do you use chiefs to collect money from homesteads before taking transformers for repair,Jun 17,,,,,
Jeff,@_Kareokey,@KenyaPower_Care No lights since last night in Ndonya migingo area mtwapa you have a faulty transformer and I don't know who will assist since its a holiday... metre number is 133264713..Please assist,Jun 17,,,,,
Kenneth Omuse,@KennethOmuse,"Matende area, Kakamega county, power outage due to transformer failure, 4 days now, kindly assist",Jun 17,1,,3,,
Eddy. J,@Eddyjamach,"@KenyaPower_Care @RamogiFM @97_3f 

 .For 5 weeks , no power in Kogere, Ugenya, Siaya county . This is a community with primary and high schools, police post . Attempts to reach Thomas mburu of Ugunja station failed. This is injustice . Please help we need a new transformer !",Jun 17,,,1,,
Tim James Musumba,@TimMusumba,"@KenyaPower_Care This is the 4th week without power. The faulty or blown transformer is yet to be replaced! What is the purpose of having non existent power in Vihiga County, Emusenjeli Village in Bunyore on a daily basis? Account 35209446.",Jun 17,,,1,,
Jackson Onyango,@JacksonOnyangoJ,Kenya power we will take legal action against you on what is happening in pumwani high rise especially for those who are paying there bills and yet you chose to switch off power and now it's 3 weeks in darkness,June 17,1,,,,
jared goy,@GoyJared,@KenyaPower_Care I reported the same through *977# and nothing has been done. It is now weeks without power. Please assist fixing the transformer. I also DM the meter number and location which your team has not responded to.,Jun 16,,,,,
Charlie wa Mtaa,@Mangua_,@KenyaPower_Care this is like the 5th time I am reporting Bangs and activities at night on transformer near meter no. 14467200284 now we have no lights,Jun 16,,,1,,
kawesa sempa,@kawesasempa,"@KenyaPower_Care no power around NYS ENGINEERING AREA 4 MATHARE ...like always ....few meters to 2930 there is power....
Send people to check that transformer",Jun 16,,,,,
Tim James Musumba,@TimMusumba,"@KenyaPower_Care The 3rd week is now over. Today is Sunday going into the 4th week and you have still not replaced the faulty or blown transformer! What is the purpose of having non existent power in Vihiga County, Emusenjeli Village in Bunyore daily? Account 35209446.",Jun 16,,,,,
TCK,@ChepkorirKotut,@KenyaPower_Care you really can annoy people. Something as simple as sorting a problematic line. For how long shall we complain? Rudisheni transformer mlichukua from Ruaka acc 37196019 and grow up. Ama ni kazi inawashinda,Jun 15,,,2,,
Gemini Vaghela,@geminivaghela,We are not on the maintenance list on mbaazi av and power went at 6:40am what’s happening? Is anyone checking the transformer which normally dies?,Jun 15,,,2,,
.Songok.,@LewisSongok,"@KenyaPower_Care @EnergyMinK The complaint with referrence 11415114 is in the status: Associated to Incidence- 
THE UNFAIR TREATMENT WE ARE GEETING FROM A TRANSFORMER BLOWING UP IN IMARA DAIMA.
Soooo Unfair",Jun 15,1,,1,,
Siman,@muniramuha,"@KenyaPower_Care Tudor transformer hatuna stima, please sort that out tnx",Jun 15,,,2,,
hmaima,@Gunner4L,Can we have a resolution to our transformer issue. Saying you have a plan since Tuesday is not acceptable,Jun 15,1,,,,
CERA,@wanjiru_wa4485,"@KenyaPower_Care its too early to deny us as Kasarani residents power on this Furahi day. We need to be busy working as a way of trying to forget the Finance Bill bana 

#KPLC
#FinanceBill2024",June 14,,,2,,
caroRobi,@carolekk254,"@KenyaPower_Care how long does it take to replace a transformer 
For 48hrs we have not had electricity at Imara Daima.
Rumor has it that no transformers in stock
This is a sad state of affairs.
Mnataka gapi za macho??
Imagine the lactating mothers who store milk  to go to work!",Jun 13,,,1,,
.Songok.,@LewisSongok,"@KenyaPower_Care @KenyaPower  A Transformer blew up on Tuesday Night … Today on Thursday Night we still have no Power for 3 DAYS and counting - we booked an incident ticket Ref: 11415114.
KINDLY ADVICE … what are we supposed to do  get help???",Jun 13,,,2,,
$Whisperer,@the_oneVictor,"@KenyaPower_Care hello. No power, account 14107174444. I think there is an issue with the transformer.",Jun 13,,,1,,
Tim James Musumba,@TimMusumba,"@KenyaPower_Care No power for the third week running in Vihiga County, East Bunyore, Emusenjeli village. How long does it take to process and replace a faulty/blown transformer? A month? This is very inconveniencing indeed!  Account number is 35209446.",Jun 13,,,,,
K_M,@KateMuriithi,"@KenyaPower_Care Thank you for replacing the old transformer in Kirigiti, but we are still having the same old problems of blackouts every day. Will this problem ever be fixed permanently?",Jun 13,1,,,,
Maxyy,@Landomax12,@KenyaPower_Care hello kindly come and check on the new transformer mlieka…it has already killed someone..,Jun 13,,,,,
Suzuki Son,@SuzukiSon2359,"@KenyaPower_Care siror kindly follow up with upcountry areas without power due to poles or transformers failure, musitesa villagers due to their ignorance,  @siror kongoi",Jun 13,,,,,
Brian Mahehu,@BrianMahehu,@KenyaPower_Care We have no power for two days in sections of Imara Daima near Deliverance Church and Scion Hospital. Transformer fault and no response teams so far.,Jun 13,,,,,
Victor Mwarabu,@vicmwarabu,@KenyaPower_Care a/c number 37175900986 Ngong matasia oleroimen road Eseriani court has not had power since yesterday afternoon after transformer positioning works.,Jun 13,,,,,
ashley myers,@DRASH59,@KenyaPower_Care why are you cutting off power when the bill is paid? Your staff punish innocent customers saying your system is down so they can't check. Disgraceful,June 13,,,,,
Kinyanjui Mbuki,@KinyanjuiSammy2,@KenyaPower_Care hi my meter is 33246818 I have paid my bill n it has been disconnected,June 13,,,2,,
mohamed adan,@maaize22,@KenyaPower_Care  I purchased Token this morning via pay bill twice and I didn't receive any Token. Kindly assist. My prepaid meter number is 37155451422.,June 13,,,,,
Mdawanawaadieli,@mdawanawaadieli,"@KenyaPower_Care
Reported a power outage earlier. Turns out the cause is a broken pole for high voltage cables supplying transformers, after Ndasha shoping center, just past ACK Church while heading down to Mbomboini.
Complaint 11411505
On A/c 151110665
cc. @KenyaPower",Jun 12,,,,,
jared goy,@GoyJared,"@KenyaPower_Care We are in darkness due to non-functional transformer. Please send your team to fix the problem. Location is Homa-Bay County, Alalo Area. Closest school/landmark is Roba Primary School.",Jun 12,,,1,,
Simon Peter,@kastonemng,@KenyaPower_Care no power for the last 2 hrs..hii transformer yenu iko na shida..we have consistent brown outs here affecting our street..metre no.20643412,Jun 12,,,1,,
Arnold’s Car upholstery.,@gardelee,"@KenyaPower_Care , 
Mtr No. 14105632047 - A FAULTY TRANSFORMER HAD BLOWN YESTERDAY NIGHT IN IMARA DAIMA NEAR KETRY APARTMENTS, BUT THE ISSUE HAS NOT YET BEEN RESOLVED!!! 24 HOURS LATER WE ARE STILL IN DARKNESS !!!  WHAT IS GOING ON KPLC ?? …..(copy).",Jun 12,,,1,,
Wayne Gakuo,@wayne_gakuo,"@KenyaPower_Care your people came, disconnected power from the transformer, left with the power fuses never to return again since 1.30PM. Check DM for more details.",Jun 12,,1,,,
.Songok.,@LewisSongok,"@KenyaPower_Care  @KenyaPower  @EPRA_Ke @EnergyMinK EMERGENCY! Mtr No. 14105632047 - A FAULTY TRANSFORMER HAD BLOWN YESTERDAY NIGHT IN IMARA DAIMA NEAR KETRY APARTMENTS, BUT THE ISSUE HAS NOT YET BEEN RESOLVED!!! 24 HOURS LATER WE ARE STILL IN DARKNESS !!!  WHAT IS GOING ON KPLC",Jun 12,1,,,,
Francis Onyango,@FOnyango_,"@KenyaPower_Care it has been six months since a transformer stopped working. We have received promises but nothing has been done to restore electricity in the area. Does it bother you that some places are in dark despite infrastructure being in place? What does it take to ..
1/2",Jun 12,,,2,,
L-afric,@l_afric,"Na kwani you guys charge kureplace sijui fuse ya transformer,it has been 4 days now.",Jun 12,1,1,1,,
Kim Karanja,@JKimKaranja,"37155482088
No lights.
Kindly assist
Transformer 100mtrs from Rainbow Resort keeps causing Power Outage every single day
It's totally overloaded",Jun 12,,,1,,
Barrack Juma,@BarrackJuma94,"The transformer at Odao primary school, Nango center in Bondo constituency has had issues of the years...it's less than a week since it was brought back after servicing it and we're again back in blackout, could you send a team today to check it out",Jun 12,,,,,
Common Mwananchi,@abysspilgrim,"@KenyaPower_Care are you sending the update code to the token meter owner or to the person who pays the bill using it, because you're going to have a lot of confusion otherwise",June 12,,,3,,
Limo,@boaz_leonard,"@KenyaPower_Care please fix my connection. I'm in the dark despite paying my monthly bill
Account number: 21974664
Transaction ID: SFB76LHBEN 
Amount: 6,000",June 11,,,2,,
Limo,@boaz_leonard,"@KenyaPower_Care yawa. I'm in the dark despite paying my bill. Kindly sort my issue out,account number 21974664 immediately.",June 11,,,1,,
abo mustapha obama,@ObamaAbo,"@KenyaPower_Care ,Hi,I have not received my bill as I usually do and if I don't pay on time,you disconnect my power.What's going on Sir/Madam",June 11,,,3,,
Alice,@Alice23039663,"@KenyaPower_Care Kindly assist. My current bill is too high. Account number 24436337. I was told to send pictures of the meters to a WhatsApp number, but there has been no action. Thanks",June 11,,,3,,
miss malaika,@CathyBarbz,@KenyaPower_Care Kindly check on my account 37705969 every time you have to do estimates for our bill we just got a 12000 lumpsome bill estimate in the village.! And mind you we have been paying monthly as well,June 11,,,3,,
VONNEY,@vonney_monarch,@KenyaPower_Care @KenyaPower  how can i get a utility bill from you guys?,June 11,,,,,
Mureithi Gicho,@MureithiGicho1,@KenyaPower_Care I have been trying to pay my electricity bill via the paybill 888888 and it's not going through..solve this please,June 11,,,5,,
VONNEY,@vonney_monarch,@KenyaPower_Care how can i get a utility bill?,June 11,,,1,,
dvgg,@duggsastona,@KenyaPower_Care payment of electricity bill paid to a wrong account number(60534278) instead of (060534278). The helpline number is not responding.,June 10,,,2,,
Cade,@cadeweli577,@KenyaPower_Care I paid my postpaid bill and I didn’t get the electricity back. I need assistance please,June 10,,,1,,
Mejja sylvester,@MejjaSylvester,"Hi, kindly the Transformer at Maturu Secondary School mulfunctioned that serves both the three schools, the dispensary and the whole community. It's now a week without power. Kindly replace it.",Jun 9,,,,,
Waweru,@waweru2kam,"@KenyaPower_Care
Evening, sparks at the Transformer in Thome Lowland rd between Ruaraka academy and Marurui.",Jun 9,,,1,,
kennedy osewe,@kennedy_os58289,There's this transformer which is supposed to be serving both Kanyang'oro Pri and Sec schools and its environs in East Kano - Wawidhi B ward Nyando Sub County and it has taken more than 5 months now without power in the area despite numerous complaints. Really?,Jun 9,,,,,
Charles Stephen™,@charlessteve89,@KenyaPower_Care You're really messing us up . Give us an alternative to the transformer you removed. Our businesses are going through losses.,Jun 9,,,1,,
Purrymaina,@purrymaina76726,Maseno Kuna place transformer ilichomeka it has been a month plus and still nothing is done,Jun 9,,,1,,
Winnie George,@cakevalleyke,54405309821 Sasa a whole village without electricity for 3days. your people want to be brided to install a transformer. what's happening?,Jun 9,1,,1,,
Joseph Mwaura,@jmkaranja2,"@KenyaPower_Care a transformer got faulty on Friday, kiambu town next to the governor's office.
This is the third day in darkness for the entire area
All our food in the fridge will be trashed. Losses for businesses. When will you sort this?",Jun 9,,,,,
Jackson Onyango,@JacksonOnyangoJ,You have refused to restore power in pumwani high rise especially for those who have been paying there bills,June 9,,,,,
Namesake,@_pinpop_,@KenyaPower_Care You guys am still waiting for my tokens bana mnakawia sana joh kwani mnatumia technologies za tene ju I thought ukilipa pay bill you get your tokens instant ama namna gani nyie? Worst customer service I have experienced today.,June 9,,,1,,
Masili_One,@Masili_0ne,"@KenyaPower_Care 
@KenyaPower_Care 
Is it going to take ages to connect me #37194121879, near Kyandili secondary school where the blow up transformer was replaced, MD kenya power reply.",Jun 8,,,,,
Masili_One,@Masili_0ne,"@KenyaPower_Care 
Is it going to take ages to connect me #37194121879, near Kyandili secondary school where the transformer was MD kenya power reply.",Jun 8,,,,,
Moses Omai,@MosesOmai,@KenyaPower_Care @KenyaPower_Care come for your transformer at this coordinate See my real-time location on Maps: https://maps.app.goo.gl/pSBC1d7GuUS43SbV9…. It blew 3 days ago and there's no sign of it being replaced.,Jun 8,,,,,
Msneno Mingi,@MsnenoM,"Kenya power, transformer was taken from Omuonyole market, Katito, Kisumu county. This is the seventh month. Schools, hospitals, etc. we are doing projects in that area and the situation is bad. Anyone to take up this matter?",Jun 8,,,1,,
Nginda,@ngindahiram,@KenyaPower_Care transformer has been out for 12 weeks . This is unacceptable. Why is this happening?@KenyaPower,Jun 8,,,2,,
Geoffrey Otieno,@Ondhiro,"The transformer at nyalenda secondary school broke down one month ago.
How long will it take to replace it?",Jun 8,,,2,,
Judz,@JuddyOranj,The transformer in an area called KEMCO in turbo uasin gishu county had a problem residents have not had power for over a week,Jun 8,,,1,,
Errands by Wanjiru/call /Whatsapp 0100423131,@kariukikat56996,"@KenyaPower_Care  kindly we need electricity back , something is up with your transformer,look into it, Tangu jana hatuna stima, @Hakika Bombolulu",Jun 8,,,1,,
Mogaka Monari,@MonariMogaka,Great danger at Amabuko. Transformer almost down,Jun 8,,,,,
Mogaka Monari,@MonariMogaka,"Emergency at amabuko sublocaton  transformer is almost down, kindly assist asap.",Jun 8,,,,,
Liam Dean,@dean_waden,"@KenyaPower_Care
 bought token with 500 ksh yesterday 6pm and up to now I haven't received them. Yet the Mpesa already deducted the money from my account. Kindly solve this issue I used pay bill 888880. Account number is 92106993238.",June 8,,,2,,
Liam Dean,@dean_waden,@KenyaPower_Care bought token with 500 ksh yesterday 6pm and up to now I haven't received them. Yet the Mpesa already deducted the money from my account. Kindly solve this issue I used pay bill 888880. Account number is 92106993238.,June 8,,,10,,
Nana,@NanaOuko,"@KenyaPower_Care  my meter was misread
My account number is 24436329. Kindly check  DM for my current reading and reading that was used to bill",June 8,,,2,,
reggie,@ettyangregina,"One month down the line no power restored  then you have the courage to send us a bill. Surely which meter did you use to get the readings? One month no power? Please don't give me another reference number. If there's nothing you can do, just tell us.",June 8,,,2,,
reggie,@ettyangregina,"When will this be addressed because its over a month now,  yet you are sending us a bill. What usage are you billing?",June 8,,,,,
TA,@Avieart7,@KenyaPower_Care i want to know my bill since you guys don't come for meter reading anymore account number 15094493,June 7,,,1,,
ObareDongo,@ErickOoko,"@KenyaPower_Care
Kindly explain to me the number of units I consumed for the outstanding bill between 18/05/2024 and 22/25/2024 for which you want to disconnect my power supply.",June 7,,1,1,,
INCOMING MCA,@francisWabwire5,"Hello I'm trying to recharge my token via my mpesa but you are responding that the format is not correct,what do I do? because I'm using pay bill 888880 then my meter number but the respond still the same,what do I do?",June 7,,,1,,
ObareDongo,@ErickOoko,@KenyaPower_Care  Kindly explain to me the number of units I consumed for the outstanding bill for which you want to disconnect my power supply.,June 7,1,1,3,,
Jt.,@Jethro23245938,"@KenyaPower_Care about 4months ago, a power surge blew up my desktop.. literally.  I wrote a letter to and dropped it in your Mumias office.  Mpaka leo no response? Nataka computer yangu n the cost of replacing those lights. With the enthusiasm you disconnect wakati bill...",June 6,,,,,
BoyGenius,@boygeniusuni,"@KenyaPower_Care kindly assist my bill for meter no. 37373396 is all of a sudden very high. I have had a normal bill between 400-800.
I had an overpayment of 578KES. last month now bill is 15,000+ for a month. @KenyaPower",June 6,,,,,
deborah,@Debsrugi,@KenyaPower_Care This complain goes to Kenya power offices in Ngong. This is soo shameful of you people to disconnect power in our plot for all occupants without caring and considering who has paid or not. I have paid my bill on time and in full amount. Meter no 25026947,June 6,,,,,
Amelia Omollo,@OmolloAmel88326,@KenyaPower_Care @KenyaPower I have a question. Why would your technicians disconnect power from the electricity pole and there’s no pending bill or arrears! So a whole evening without power in Umoja innercore. Please help,June 6,,,,,
Aggrey Alwala,@AlwalaAggrey,@KenyaPower_Care @KenyaPower @EnergyMinK @EPRA_Ke it's now 4pm since 9am without power and not in the list of those who will be affected here in ebusiratsi vihiga. today those who depend on power to earn a living have nothing to smile about and yet you are waiting for bills,June 6,,,1,,
B A Y A,@Baya_Michael_,@KenyaPower_Care I don't have power at Syokimau and I've paid my bills. Can't work without power. Please fix this.,June 6,,,,,
No one,@Bill_mkenya,@KenyaPower_Care 37193220201 hakuna stima since 8pm. Marurui near catholic church. Kindly do something about it.,June 5,,,1,,
Murimi Ireri,@MurimiIreri1,@KenyaPower_Care  I've been trying to pay my bill that is due tomorrow but it declines saying the transaction cannot be completed at this time.Please advice on what to do,June 5,,,1,,
alinory KWENA,@alinory_KWENA,"@KenyaPower_Care @KenyaPower,

How much is the bill for meter number 24311144?

Thanks",June 5,,,1,,
Liza,@thecomicslady,"I have received a bill of 380k, yet in March I had a negative bill.. I raised my complaint on my meter box but was not assisted since last year. Self reading was not working and the technicians have not come to read meter for months. I stay alone. How is the bill justified?",June 5,1,,1,,
