Author,Handle,Post,Date,Likes
Kate,@Wamwadime,"@KenyaPower_Care After a promise of reinstating power before nightfall last night, this morning's update is that the transformer is faulty & that the issue is resolved. We still have no power.",Aug-31,
Prof Kim,@KiprotichKim,"Mnang'oa transformer hapa kitale without replacing. NOW a week without power, businesses closed. What is happening?",Aug-31,1
Nancy Abuga,@NancyAbuga61805,I'm worried my home  area without power for two months... you are not serious you people...Gesweswe area ekerenyo division the transformer is fake rectify it please,Aug-31,
Frank Mokaya,@FrankMokay93652,Mtrt no. 37175144890Hatuna power kisii .....walidisconnect transformer,Aug-31,
Immaculate Kamau,@ImmaculateKama5,"Komarocks lights are off mostly, transformers bursts every now and http://then.like now we have no electricity,Nasra estate.pls help us.",Aug-31,
Alima Idris,@IdrisAlima41776,It's  two weeks now we don't have power in shitukumi  village in mumias  it's  very shameful because of transformer explosion,Aug-31,
makena,@moureenmakena1,Transformer ya amatu ni mikinduri tunakuanga kwa Giza daily na you people don't even care mko tu,Aug-30,
Shiku Pisces,@Shiku_Pisces,"@KenyaPower_Care good evening, we've been in the dark since Friday because our transformer was stolen. We have reached out severally but nothing has been done. The reference number 9901521. It's very unfair",Aug-30,1
Jamandass,@stedonn,@KenyaPower_Care i reported a partially destroyed and leaking transformer on Monday evening. That has not been fixed yet.,Aug-30,
Consolata,@irericonso,"@KenyaPower_Care no power in ruiru, minjicare transformer since morning, account number 22345078",Aug-30,
Anthony Nyamu,@tonynyam,@KenyaPower_Care kindly refer to ref no. 9924844. I really wonder what kind of manpower is required to restore a single line from a local transformer. It's now almost 18 hours. The guy came checked and went saying he will be back. A simple fault taking a ,Aug-30,
Seth Owuor,@owoset,"Amilo primary school has no power for 2 months now. No transformer. Kisumu, Muhoroni sub county",Aug-30,
Sebastian Kweyu,@SebastianKweyu,"@KenyaPower_Care we have no power in my village since 12th August. Reason, a dead transformer, the village's commercial activities are dead. Latest ref. 9918346 bwana MD kohoa tupate power.",Aug-30,
Collin Nganga ®,@_qollo,"@KenyaPower_Care Reporting, why do you guys temporarily fix the power transformer in our area to only last a day or two, only to break down again. While all the areas surrounding us have power. Can't you just find a permanent solution to this.",Aug-28,
space X,@vhomebnb,have been trying to reach Meru kenya power office but they are less concerned and they don't care. they came at Location collected transformer and left the village with no electricity.,Aug-28,
space X,@vhomebnb,"@KenyaPower_Care  this post has been here for three months now after broking this shop. I have tried to look for help from Meru office But Invain.
you collected your transformer and left this here!!!!
@citizentvkenya @ntvkenya @WilliamsRuto the poor are f",Aug-28,
space X,@vhomebnb,"@KenyaPower_Care Meru. what is your problem? this post has been here for three months now! Kenya power they came to the sin collected their transformer and left this post leaning on this shop leaving the area with no electricity.
@citizentvkenya @ CS chir",Aug-28,
Snaida nangila,@SnaidaNangila,@KenyaPower_Care Hey it's sooo sad that we are experiencing another day in the dark here at Rings view Apartments next to Kasuku Center as one of your transformers blew. Kindly get some technicians to fix it. The transformer next to the apartments.,Aug-28,1
Tanuj shah,@w1ckedminds511,we are having phase failure one of the fuses has dropped from the transformer. i have tried your emergency numbers nobody is picking up i have also got a reference number. 9916815,Aug-28,
A. Mulei,@Miss_Mulei,@KenyaPower_Care We have no power in Beach rd Nyali Links rd something is wrong with our transformer a/c no. 14431084,Aug-27,
Duncan Dhuku,@DuncanNyingi,"Since beginning of this month we have not had power. We need a transformer. Help us. Our account does not show location, we were connected during last mile.",Aug-27,
Pauline Nthenya,@pnthenya1,@KenyaPower_Care After countrywide  blackout we are now in secluded backout. We have been waiting for emergency response for 12 hours now for fault on the KPLC transformer on our premises in Diani Kwale County.,Aug-27,
Wuod-rarieda,@wuod_rarieda,"Bring a transformer to Siger area,we have been having this problem for the past two months and you are not responding at all, kindly do us good by bringing one we need electricity @WilliamsRuto and @kipmurkomen kindly help us",Aug-27,2
Shemeji Ya Atwoli,@kamoses68,"@KenyaPower_Care Are you aware that the transformer along Njathaini was stolen? We are in the dark for the past two nights?????
Kindly do something",Aug-27,
Abbey Peter,@AbbeyPeter3,"@KenyaPower_Care Low voltage that goes on & off,on & off. Umoja Innercore behind Muhindi Mweusi supermarket next to Undugu Court(service transformer). Neighbouring houses have stable power. Meter no 04225878414 since yesterday after a power surge.",Aug-27,
Bedan Njoroge,@bnjoroge862,"@KenyaPower_Care @hon_wamuchomba
It's about 2months since the transformer was stollen from Gitiha dispensary  near police post which is  just 50 meters aways, Githunguri constituency.The hospital has no power connectivety and the whole area people are in ",Aug-27,
just jonez,@jonezkaranja,@KenyaPower_Care hello kenya power transformer yenu huku transformer police booth station imeenda off since 8.30pm till now hakuna usaidizi hadi now tumepata kuget restored power bana.,Aug-26,
bennitoh Ambindi,@AmbindiBennitoh,"Bure nyinyi, in Ugunja siaya County a transformer that serves ulwani secondary school and residents failed 1 month ago until Today no restoration has been done to bring back power, check in to this. Your officers at this place are tough headed don't even want to pick up calls.",Aug-26,
Ruikiru,@Moffatmwai,@KenyaPower_Care sumnyonge huto tunugu tunachezanga na transformers zenu,Aug-26,
sc,@snaoc,Someone has stolen the transformer in our area during the blackout . Please assist,Aug-26,
peter ayugi,@ppayugi,"We appreciate your efforts,KPLC But really what's the cause of this? I've my theory, illegal bars and discos in residential areas lead to overloading of transformers, tripping off and overloading of nearby transformers. Pass on compensation fee to local authorities!!",Aug-26,
bennitoh Ambindi,@AmbindiBennitoh,"Bure nyinyi, in Ugunja siaya County a transformer that serves ulwani secondary school and residents failed 1 month ago until Today no restoration has been done to bring back power, check in to this. Your officers at this place are tough headed don't even want to pick up calls.",Aug-26,
Ruikiru,@Moffatmwai,@KenyaPower_Care sumnyonge huto tunugu tunachezanga na transformers zenu,Aug-26,
sc,@snaoc,Someone has stolen the transformer in our area during the blackout . Please assist,Aug-26,
peter ayugi,@ppayugi,"We appreciate your efforts,KPLC But really what's the cause of this? I've my theory, illegal bars and discos in residential areas lead to overloading of transformers, tripping off and overloading of nearby transformers. Pass on compensation fee to local authorities!!",Aug-26,
BOB SETH,@bobsetho,"@KenyaPower_Care @KenyaPower Kisumu KPLC Emergency Office is reporting a spoilt transformer, informing us that we shall not have power supply in our homes at RIAT Airport for the next 1 week plus!
Are you really concerned of our foodstuffs that is rotting",Aug-26,3
Afroson,@TonyTony377,"Wa kairo is no longer an inhabitable please blackouts every single day something must be wrong somewhere, that transformer outside TURO plaza at makutano junction your people are doing poorly there kindly send someone to have a look at .. its not worth sharing it here please",Aug-26,
ROHI SHI'SUKANE,@RSHISUKANE,@KenyaPower_Care @KenyaPower with this kind of power surge looks like you may be prepared to replace more transformers!,Aug-26,
Abbey Peter,@AbbeyPeter3,@KenyaPower_Care Low voltage and swinging(pumping). Umoja innercore next to Undugu court(where supply transformer is situated). Meter no.04225878414. Started after a power surge.,Aug-26,
Abbey Peter,@AbbeyPeter3,@KenyaPower_Care low voltage and swinging(pumping). Umoja innercore next to Undugu court(where supply transformer is situated). Meter number 04225878414.,Aug-26,
Joseph,@josephmuchira11,"@KenyaPower_Care power is not back in Kasarani, Sunton mradi area. Might be a transformer issue. Urgently check.",Aug-26,
bennitoh Ambindi,@AmbindiBennitoh,"Nyinyi bure Kabisa, Ugunja in siaya County tumekaa mwezi moja bila stima hadi sahii hakuna stima 2nd time transformer ikiungua, the transformer that serves ulwani secondary school and residents.",Aug-26,
Abdy Mamba,@mwarabu67276304,"@KenyaPower_Care we are in darkness since Wednesday.. what might be the problem. A certain transformer is said to have a problem.. how long do you take to replace..??

Rumuruti Laikipia county.",Aug-26,
Symo Nabqwesy Wekesa,@Mosysymo,"Lugulu Tete,the transformer blew 3 months ago,no replacement to date,You guys are a joke.",Aug-26,
Alex Tuwei,@TuweiAlex,"Bure kabisa it takes you one month to rectify a transformer,,just 18km from eldoret town, monopoly is a cancer in service provision in Kenya",Aug-26,
Nick,@NickSinior2,"The dude running this a count must be a PR guru and a keyboard warrior, giving endless hopes like a failed ejaculation that am gonna achieve it just right then, when they have failed to restore a faulty transformer for past 6 months",Aug-26,4
Champagne_kish,@ChampagneKish,"Still no electricity in Kamulu- Sir Henry,,kwanza we are having troubles with Transformer issues,, We keep complaining but you guys haven't switched the transformers to bigger ones,,, sasa watu 100 wanatumia transformer moja ndogo surely,, can't you just do something",Aug-26,9
🅚🅔🅝🅨🅐🅝.🅛🅐_,@Mwafrica9,and there's still a place where there's been blackout for over 3 months due to a faulty transformer.,Aug-25,1
Harriet Nyaki,@HarrietMukami,"Hello, we’ve been having frequent power outages around hillside in siakago, Embu. One of the transformers got stolen and unauthorized people are just connecting power from the small transformer left and you guys are doing nothing about it. Can you kindly come and check on that.",Aug-25,1
Nicholas Rugut,@Kimutainick,@KenyaPower_Care this has been the state in our area Kapseret Lemook for the past 5days. Our transformer was taken for repairs since Monday.,Aug-25,
ombudsman,@Awili73412204,@KenyaPower_Care how can you charge a school 47800 for a transformer...Ghai this is theugery,Aug-25,
Phillip Olan'g,@phillip_olang,"@KenyaPower_Care REF No E29752023050020, I have been asked to purchase a transformer at 1.2 million,  whose transformer? Private or public? Rural electrification ilikufa? Cc @Cofek_Africa @EnergyMinK",Aug-25,1
Phillip Olan'g,@phillip_olang,Is it normal to ask customers who have applied for power to buy their own transformer?,Aug-25,
Eliud kariuki,@KEelectrician,@KenyaPower_Care still in darkness. Transformer blown.14284519296,Aug-25,
Cyrus ipapo,@IpapoCyrus,We've been in the dark since March when our transformer ceased to render it's services..what effort are you making to restore power,Aug-25,2
teagan,@teagan70139359,@KenyaPower_Care my home area near mtwapa primary kwa jeck there is no power in some areas but power in some with the same transformer what's the problem,Aug-24,1
kawira,@kawira_16357370,"URGENCY! URGENCY!!!
THERE ARE SPARKS EMERGING FROM THE TRANSFORMER NEXT TO NTONYERO PRIMARY SCHOOL NEAR JAWA REHEABILITITION CENTRE KIRIA LOCATION IN IMENTI CENTRAL 
KINDLY HELP",Aug-24,1
Joeh Grace,@JoehGrace,"Your technician from Thika were fixing fuse at Nyacaba shopping centre transformer,but unfortunately they exploded,,,no power within Malaba n Nyacaba. .",Aug-24,
LEXY ACHIENG,@AchiengLexy,You guys know that what you're saying here is a total lie.....hiyo transformer mko nayo!!!!!! Stop frustrating us sheesh!!!! Corruption left right centre huh,Aug-24,
Krystyn Mukami,@krystyn_mukami,I called the emergency line Ngong and no help nothing !just got a reluctant remark that the transformer has a problem and she’s not even certain if it will be fixed.smh,Aug-24,
Tito,@TitoNdoka,"@KenyaPower_Care after a planned maintenance yesterday, the transformer blew up and has not been fixed yet. Is anyone coming? (Lower Kabete)",Aug-24,
kawira,@kawira_16357370,"Hi @KenyaPower_Care there has been no power since Tuesday  in meru county,imenti central,kiria location transformer near ntonyero primary the transformer has issue kindly check on it",Aug-24,1
Collins Nyakundi,@collinsnyakundi,"@KenyaPower_Care @KenyaPower sims u guys started serving Kenyans based on the so called ""Shares"" shareholders r being prioritized 2 non-shareholders How long does t take ua technicians 2 change a cut-out for a transformer? Since Sunday na tunaingia weeken",Aug-24,
ARN R,@Arnr444223R,Can we have another  solution as the faulty transformer is fixed. We have lost a lot since all this.,Aug-24,
Nick®,@nich_mwebs,"Two months down the line we are still waiting for a transformer replacement. 13th Street, ACK road Mwiki. @KarauriR",Aug-24,
Phillip Olan'g,@phillip_olang,"@KenyaPower_Care I have been asked to purchase a transformer at kes 1,200,000.00 to facilitate connection ... is this the procedure?",Aug-24,
Milly,@Milly334381,"@KenyaPower_Care Hey my lovely people. I keep celebrating you coz unlike many African nations, you are doing more than them. Now our transformer has blown up. Kindly help. Kirigiti - Kiambu 37187231271",Aug-24,
your mistakes,@aresyehosh,Haiya kumbe ni transformer iling'olewa,Aug-24,
Erick Rono,@ErickRo98641126,We are in darkness  3months now emmurua  dikir constituency  mamboleo  lelagoin maneno so poa walai transformer ndo shida,Aug-24,
Njawuzi Ben,@Njawuziben,"Consider mlango kubwa PCEA area
You took the transformer tuko kwa giza",Aug-23,
Njawuzi Ben,@Njawuziben,It's not yet back as from yesterday noon. You took the transformer yet power was on. Kindly do the necessary,Aug-23,
Kimutai_Wicky,@Kimutai_Wicky,@KenyaPower_Care lower Kabete Transformer on fire,Aug-23,
7Kev,@dimplezkev19,Hello there ..around mowlem area kpcu Dandora branch a transformer was removed earlier today no reason given we are in the dark,Aug-21,1
7Kev,@dimplezkev19,"@KenyaPower_Care.@KenyaPower...phone number 0789393129 ...no electricity around kpcu Dandora branch
I wonder how can a whole transformer be uninstalled sighting that they are taking it to the workshop for repair ?",Aug-21,
Stanslaus Alusiola,@stimella1,"@KenyaPower_Care @KenyaPower the transformer at Iyenga Primary school in Ilesi, shinyalu, Kakamega county, needs a replacement. The people of this area have been in darkness for over 4 months now. 

Please work in a hurry to restore power.",Aug-21,
#RutoMustGo,@onesadkenyan,"PLEASE RESPOND.
Reporting a  power outage, just now, at Lusigetti, near Lusigetti Market, Kiambu County, Might be the new transformer . No communication yet, Please assist, Thank  you.
Reporting on Ac 22170712461
@KenyaPower  @KenyaPower_Care @KWamatangi @EnergyMinK",Aug-21,1
Reuben,@ReubenkRm,"@KenyaPower_Care meter number 92100521209 there has been power outage caused by strong wind blowing off a kibanda roof to hang on electric lines causing a short in the transformer, somelines are down others up and twisted.",Aug-21,
SirChaplin,@SirChaplin14,"kuna nija nimeona kwa transformer yenu, ningewashow ni wapi lakini mlikataa kunirefund 10k yangu",Aug-21,
Eddy. J,@Eddyjamach,"The transformer is located at Kogere Primary and secondary high school ,or Kogere police post",Aug-21,
Wanjagi Ndirangu,@NdiranguKevin4,The transformer is next to superloaf primary school in umoja 3,Aug-21,
Tasha Tash,@TashaTa27269177,"What does the dm say?Still no power in fedha church road.
They took the transformer and said it will take more than a week to get fixed.
Is that true?",Aug-21,
Julius zomolo,@julius_zomolo,@KenyaPower_Care  still no power in church road fedha your guy's came and took the transformer and left kindly update on resumption and sorting out of the issue,Aug-21,
Perū,@peru_champ,"@KenyaPower_Care Your transformer in Nambale-Busia, across from the post office, has a technical problem. It has apparently been this way for about two months.",Aug-21,
Eddy. J,@Eddyjamach,"@KenyaPower_Care , @citizentvkenya @RamogiTVKen  Low voltage in one of lines at Kogere , sega , Ugenya , Siaya Co. transformer number G-148008. One of the phases that serves 400 household , police station and high school has low power . Please help",Aug-21,
Willis Awino,@WillisAwino,@KenyaPower_Care we Don't  have  power  in Fort Jesus karanja  Road  coz one of the fuse is burnt in the transformer n it affects parts  Fort Jesus  n karanja road,Aug-21,
Hilary Kipkorir Too,@HilaryKipkorir2,"@KenyaPower_Care hey Kenya Power. 
How can you be so insensitive! ONE WEEK POWER OUTAGE! ST GEORGE'S, ELDORET. This is due to blown out transformer. Your maintenance team took away for repairs or so. Now we're in the darkness one week after the incident! ",Aug-21,
benard Ondego,@benardondego,This is the picture of the burnt out transformer and poles.,Aug-20,
Felix Owino,@iFelixOwino,@KenyaPower_Care Kindly note that the transformer that serves Church Road residents in Fedha blew up yesterday and we’ve been with no power since then. Your techs came and left. Please consider installing a high voltage transformer since the customer ba,Aug-20,
Vincent Okoti,@OkotiVincent,I have stayed in the dark for more than 2months they say the transformer is http://faulty.How Long does it take to replace a transformer.,Aug-20,
Vincent Okoti,@OkotiVincent,"@KenyaPower_Care you have turned out to be Kenya Powerless,why is transformer replacement or repair taking more than 2months?Are you sincere to your customers?",Aug-20,
benard Ondego,@benardondego,Complaint ref. 9876540 contact 0728 302 329 . The transformer at Kachieng Nyamariwa area next to Orinde coffee factory blew up and its been 2 weeks we are suffering,Aug-20,
benard Ondego,@benardondego,@KenyaPower_Care Complaint ref. 9876540. The transformer at Kachieng Nyamariwa area next to Orinde coffee factory blew up and its been 2 weeks we are suffering.Any update?,Aug-20,
Ms. Kui,@KuiGatiki,The transformer blew up last night. Please help.,Aug-20,
Weskip,@Weskip9,This people have not been connected just five house in the entire region and the transformer is not far,Aug-20,
jacky jacqueline,@jackl1n3,"@KenyaPower_Care Good evening,the transformer along deliverance Road kitengela near KAG Church has issues again we dont have electricity, please  please dont make us stay without power the whole weekend,kindly check on it",Aug-20,
Geoffrey Omuse,@hon_omuse,"@KenyaPower_Care it baffles me a lot that at this age and era, a Public institution can stay more than five years with a faulty non functional transformer and Kplc doesn't bother at all. 
Garaa primary school in Teso North, Busia County has been having a ",Aug-20,
anne orwa,@kochiengkogwayo,"@KenyaPower_Care 
The transformer for Ongielo Primary School in Asembo Bay was carried away without any explanation and it has not been returned.
I am one of your clients who is affected. Please restore back the power we are suffering.",Aug-19,
kipcherry,@Duncherry,"Bomet county - Konoin Sub station, Embomos Kimarwandi karibu AIC transformer failed 2weeks ago details taken no action taken.. Metre number 37207604101",Aug-19,2
Christine Murithi,@ChristineM82604,How long does it take to replace a transformer?,Aug-19,
kipcherry,@Duncherry,@KenyaPower_Care how long does it take for you to replace a failed transformer? Juu hii yenu ni weuh @LennyBrighton1 @AlexKWachira this is the 2weeks imeenda and the village is in total darkness after kenya power  took information and transformer is still,Aug-19,
#RutoMustGo,@onesadkenyan,"PLEASE RESPOND.
Reporting a  power outage, just now, at Lusigetti, near Lusigetti Market, Kiambu County, Might be the new transformer . No communication yet, Please assist, Thank  you.
Reporting on Ac 22170712461
@KenyaPower  @KenyaPower_Care @KWamatangi @EnergyMinK",Aug-18,1
Nancy Melita,@MelitaNanc22742,@KenyaPower_Care  At Magadi ilparakuo village our transformer became faulty 3months ago.we have been reporting to Ngong office. But no assistance given to us. For how long are we going to stay without power? Kindly Ngong office is failing us.,Aug-18,1
MacPhee ®,@Moses_MacPhee,@KenyaPower_Care Kindly address the issue with the transformer at Joy Heights Ruiru. We are always experiencing blackouts from 7.00 pm till the next day around 11.00 am. It has been continuously occurring since December.,Aug-17,
Hon.J.N.Njamumo,@NjamumoNamu,"Visit areas of Kianjogu, ukenye,kiamathigira,Kaminji,mbingui-ini in Mutithi ward have very low connectivity.
Imagine the county government of Kirinyaga has already paid in full transformers for kiamathigira and kayuyu in the same Ward,yet kplc has refused to install!A big shame!",Aug-17,
maryrose moraa,@biancamya,"No power behind QMP, at the transformer at pst. Kanyari 's residence since today morning at 9:30 am. Meter number 14252576948",Aug-17,
mercy mumbi,@_mercymumbi,"@KenyaPower_Care in embakasi village area, a transformer burst over a week a go and nothing has been done. We have been staying in the dark since then.",Aug-17,1
Sebastian   Mwenda,@sn_mwenda,@KenyaPower_Care I wish to report The transformer at CCM NKUMBO PRIMARY SCHOOL along Mati Road near Chaaria Mkt made a loud noise and power went off on Thursday and to date we have no power. The emergency number in meru is not picked. Please assist. Meter,Aug-14,
Muatha,@Muatha18,are you guys serious??? mmekuja leo na ni kama mlikuja kupiga picha na transformer because nothing changed. a whole week with no power and you guys keep saying you are sorting it. its like you are taking us for fools. fix the damn transformer!!!!,Aug-14,
#RutoMustGo,@onesadkenyan,"PLEASE RESPOND.
Reporting a 2 hour  power outage, at Lusigetti, near Lusigetti Market, Kiambu County, Might be the new transformer . No communication yet, Please assist, Thank  you.
Reporting on Ac 22170712461
@KenyaPower  @KenyaPower_Care @KWamatangi @EnergyMinK",Aug-14,1
Nick,@NickSinior2,"YOU TAKING TOO LONG TO GET THAT TRANSFORMER CHANGED, ITS BEEN 6 MONTHS NO POWER , AROUND LEGIO MARIA CHCH NZOIA MAKET IN UGUNJA CONSTITUENCY, ITS SO SAD THAT HOMES AROUND BEEN  IN BLACKOUT BESIDES HAVING CONNECTION IN PLACE",Aug-14,1
Nyoike,@SE_newgamer,"Sometimes I think Mbai did a good thing slapping one of your heads!You guys deserve nothing but critics.
Where did you take our transformer?Since last Thursday till todate.",Aug-14,1
Joshuah,@Kanyinge1,"Goodafternoon good people, for the last 3 weeks we have no eletricity kplc team came and carried some fuses on one transformer.that is ruiru east town callled murra gwa tom, and karia.over 75 homestead .advices us or where is the challege.goodday.",Aug-14,
Joshuah,@Kanyinge1,"Goodafternoon good people,ruiru east place called murera gwa tom,and karia your team came 3 weeks ago,and removed fuses on transformer.hatujakuwa na stima from that time 75 homestead.whta could be the challege.advice us kindly tunaumia.",Aug-14,
Magdaline James,@magdashe7,Hello.. Transformer was reinstalled. Thank you,Aug-14,
Muatha,@Muatha18,"hi
are you guys still working towards replacing the transformer? btw we are still waiting for power",Aug-14,
Bryan Anangwe,@BikoBrian,@KenyaPower_Care mlisema transformer mnarudisha lini?,Aug-14,
Abdallah Magogo,@Abdallah_isme,@KenyaPower_Care. Power outage at Tassia kwa ndege there was a blast at the transformer near Tripple Towers Meter 37227809516. Some apartment s without power for the last 5 hours.,Aug-13,
Tenina,@Im_a_mess_btw,"@KenyaPower_Care Hello. The transformer in Syokimau next to Muthama Estate blew up, and there have been no lights for over 24hrs in a few. Please do sth",Aug-13,
Pogie,@kiraegeo,"@KenyaPower_Care  @KenyaPower 3 days without power at Kiamumbi (off Kamiti rd), Nigeria avenue and it’s environs! My ground work has it’s a faulty transformer! What’s the expected resolution period for such a fault? Kindly advise your monopolized cu",Aug-13,
Nick,@NickSinior2,"@KenyaPower_Care YOU TAKING TOO LONG TO GET THAT TRANSFORMER CHANGED, ITS BEEN 6 MONTHS NO POWER , AROUND LEGIO MARIA CHCH NZOIA MAKET IN UGUNJA CONSTITUENCY, ITS SO SAD THAT HOMES AROUND BEEN  IN BLACKOUT BESIDES HAVING CONNECTION IN PLACE",Aug-13,1
Lauritah Semo,@Laurasemoh,"@KenyaPower_Care we have no power since morning,the transformer has issues please send technicians acc number 01452133703",Aug-13,
Thee Shield,@_Ngaojunior,"Bungoma County;Kabuchai constituency,Sichei,the area around KMTC.The transformer is experiencing a problem which needs urgent attention before things gets out of hand since yesterday evening when it was raining as per now the voltage is low which can't even light up the bulb.",Aug-13,
KJ,@James__kj,"@KenyaPower_Care
 Day 3 of having no power. The transformer inside ong'ielo primary school near ong'ielo health center was picked up by kplc staff on 10th of August 2023.",Aug-13,
Thee Shield,@_Ngaojunior,No power bungoma county kabuchai constituency sichei...Transformer has got a problem,Aug-13,
henry Mmene,@Henrymmene,@KenyaPower_Care There is a blackout in umoja. I heard what sounded like a transformer explosion. Acc 37207829245,Aug-13,
Hii itabamba sana,@patrickrukwaro8,Transformer Along nyeri - nyahururu road.. Nearest landmark is mwihoko primary past wiyumiririe.,Aug-12,
Rose Musera Videnyi,@mrssammusera,"Transformer at kyanzavi location, Kwa nguu village and the dispensary was taken by you guys , contacted the office at tala branch, I was given contacts of a certain engineer, he never picked up his calls until today",Aug-12,
KJ,@James__kj,"It's unsafe to share my personal account number and phone number on a public social media platform. The region is in Rarieda, Asembo. Landmarks are Ong'ielo health center. The transformer was inside Ong'ielo primary school.",Aug-11,
KJ,@James__kj,@KenyaPower_Care last in year in August the transformer serving ong'ielo primary and surrounding neighbors exploded and was restored in 3 months... So candidates even sat for their exams without electricity...,Aug-11,
phillooh,@dbf31dcda600405,"@KenyaPower_Care @KenyaPower @kenyapowercare_ @KenyaPowerAlert  Having power is a right and not a favor. Transformer at Ramula pri  school ,Gem ,siaya county has been out last 8 months .. KPLC Siaya are  cold and negligent .We are victims of KPLC monopoly",Aug-10,
Tutor Jayden,@jaydenA061,"@KenyaPower_Care kwani watu wa umoja 3 waliwakosea nini? We have been constantly experiencing power outages and today you decided mnatoa transformer sasa without any update? We have businesses to run and if you don't want to serve us,you can as well let u",Aug-10,
Grace Nduta,@dubzndutah_dj,@KenyaPower_Care what's happening in Embu kiritiri road. Transformer called Kwa Mwalimu. Our electricity keeps fluctuating by every minute the fridge televisions will get burnt at this rate. It's been two days this is happening metre number 14252437646. A,Aug-10,
Mukami,@Lyrn_Mukami,We have not had electricity since yesterday morning when a transformer blew complaint reference number 9851495. Account number 14228747359. Kindly assist.,Aug-10,
Brendabee254,@brendabee254,@KenyaPower_Care weeee 3 months no electricity... Seriously???? Can you please fix the transformer issue please,Aug-10,
Muatha,@Muatha18,today officially marks six days since you took the transformer. you keep saying soon when is soon. we have been in the dark for six days and you keep saying soon,Aug-10,
Elijah,@ethagana,"@KenyaPower_Care Power off in old Donholm, transformer explosion heard. Kindly resolve",Aug-10,1
Elllah,@Ellah_Rand,@KenyaPower_Care power has just gone in Donholm. Might be a transformer that blew,Aug-10,
Miti wa Ardhi,@biokin,@KenyaPower_Care power lost on Grevillea Grove off Brookside Westlands Nairobi this morning at 7.45AM. Loud bang heard near a transformer,Aug-10,
Hyphen,@Shietbaga,"Who should really take liability for a transformer theft??
You @KenyaPower_Care or the customer",Aug-09,
BRIGAEN BARGAIN,@BriganTendeka,Hey at gidea area kwanza constituency there is no electricity due to transformer fault for the past four weeks so pliz help us,Aug-09,
Rahab Wakuraya,@WakurayaR,"@KenyaPower_Care  34830305,our light for more than 2weeks have had some faults....kindly assist,we can't even pump water koz the lights are dimmed,the transformer was carried away",Aug-09,
Qhalifa majid,@QhalifaM,"We are now entering week 2 without electricity
Our normal lives have stop
We don't have water in our homes .we can store food
We living like stone age people...yet you are there relaxing doing nothing
Please return our transformer and look into the issue.
At ruiru kimbo.ola",Aug-09,1
Machedas,@Machedas23,"@KenyaPower_Care 
Their is an area where electricity has not been operating for three weeks now yet your technical team took the transformer for repair and it has not been brought back. The people at that location have been in total blackout and some jobs",Aug-09,1
qhalifa majid,@antiqueqhalifa,"@KenyaPower_Care you guys are not being fair
Two weeks without electricity
Mlichukua transformer hamrudishii
Maisha imesmama ..kazi zimesimama its not fair at all
Please look into it
Location: ruiru,kimbo
Opposite spur mall
Return our transformer",Aug-09,1
Smartsketches,@smartsketches,@KenyaPower_Care Murera-Karia-Ndurumo area is in total darkness due to faulty transformer and illegal connections. Please check,Aug-09,
Simpleheart,@Simpleheart13th,"@KenyaPower_Care here we go again.  No power the whole day then,  power is back as usual to the neighborhood but 5 houses. 
When will you sort out this transformer issue once and for all.",Aug-08,
Nana,@NancyMaranga1,"@KenyaPower_Care  keera -Nyacheki area has not had electricity for  a week now the transformer is faulty.
Kindly assist.",Aug-08,
Rugi Brandon,@Rugie_Brandon,"We've not had power for the past 2 weeks, The transformer in Gituamba Naivasha is no longer in use. Please consider us. 
Thank you",Aug-05,
mfalme suleimani,@OrengeSolomon,@KenyaPower_Care one of your transformers kitengela noonkopir near Ole Tim's think its overheating maybe your engineers can check on it,Aug-05,
Duncan Dhuku,@DuncanNyingi,@KenyaPower_Care Our transformer is down since Tuesday. At Juja Ndaraca area Karia near Safaricom mast. Please assist.,Aug-05,
Osírîs,@GyptianNesh,Can you please add another transformer in our area ..the one we have is overloaded hence loss of electricity,Aug-05,
Mr. Muchemi,@erick_muchemi,"@KenyaPower_Care Hello kplc, meter number is 54606937164, Ongata Rongai  around tumaini…we have not had power since yesterday and businesses are stopping because no one has come to help us. Yesterday there was fire on the transformer around 5pm in the e",Aug-05,
Christine Murithi,@ChristineM82604,Hello murera Pcea magomano area we have been in the darkness since tuesday the transformer has issues kindly help people are suffering,Aug-05,
@cosiee,@cosiee,You normally disapoint...where is the fuckin transformer,Aug-04,
Kingpin,@CertifiedKingpi,Check Kimbo hapa St.Dominic Catholic church Transformer just blew,Aug-04,
Kingpin,@CertifiedKingpi,"@KenyaPower_Care ,@KenyaPower  hapa Kimbo St.Dominic transformer imelipuka  ntatengeneza lini sasa ama tungoje miezi mbili kama last time",Aug-04,1
vincent odhiambo,@odhyambo2022,"@KenyaPower when are you planning to replace/repair the transformer at Ramula Market,this is pure injustice and discrimination of the highest order,four months down the line,nothing is going on,worst is that the schools and health centers around are slowl",Aug-04,
©Taji®™,@BETTKIPKIRUI17,The transformer itself...it stopped functioning for a long time,Aug-04,
CHRISTOPHER NJOROGE,@cnk_njoroge,"@KenyaPower_Care Hello.
We have not had electricity in our homes for 3 Three weeks now since our transformer was stolen at  limuru Karanjee (mitiini). Kindly act on this.",Aug-04,
Zeus,@Sina4rmTimbuktu,"@KenyaPower_Care Afternoon,

I think your team is very complaisant esp in Ruiru-Kimbo area.
There is transformer which malfuntioned on Wednesday , till date no repairs.

Kindly just act on the same.",Aug-04,
