Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date,Name,Retweets,Tweet URL,Post Body,Timestamp
Monah,@fionakibe25,,,5.0,2.0,441,https://x.com/fionakibe25/status/1810198948293845357,https://x.com/fionakibe25,"I see no information about an interruption in malaba witeithie in juja sub county yet hakuna stima
What might be the issue?",8-Jul,,,,,
Esther Auma,@AumaEstauma,,,,,6,https://x.com/AumaEstauma/status/1810178656267805166,https://x.com/AumaEstauma,As for matasia area Stima went at 6:20 and they are not back yet . Any planned interruption we aren't aware of in that area,8-Jul,,,,,
Esther Auma,@AumaEstauma,,,,,6,https://x.com/AumaEstauma/status/1810178656267805166,https://x.com/AumaEstauma,As for matasia area Stima went at 6:20 and they are not back yet . Any planned interruption we aren't aware of in that area,8-Jul,,,,,
Kennedy bariwot,@kennedy_bariwot,,,,,7,https://x.com/kennedy_bariwot/status/1809973642098520572,https://x.com/kennedy_bariwot,Hello is there power interruption in Tranzoia specifically lessos area along kwanza namanjalala Road there no power kindly confirm,7-Jul,,,,,
Steve Njogu,@The_SteveNjogu,,,,1.0,161,https://x.com/The_SteveNjogu/status/1809867067975139505,https://x.com/The_SteveNjogu,@KenyaPower_Care we woke up to no lights in South B yet there was no notice of planned interruption. What’s happening?,7-Jul,,,,,
James Otieno Ochieng'.,@otieno_james254,,,,2.0,68,https://x.com/otieno_james254/status/1809865408641376298,https://x.com/otieno_james254,"Good morning, why is my area being affected by block outs for the past 4 days yet it isn't a scheduled power interruption. The area of Zimmerman.",7-Jul,,,,,
Reggy,@lezeregy,,,,,24,https://x.com/lezeregy/status/1809826647652077603,https://x.com/lezeregy,"@KenyaPower_Care 
24 hours plus. Si ata mngetupea notice ya planned interruption... But no.. no notice, no response from you guys... Smh....",7-Jul,,,,,
imelda imesh,@ObonyoImelda,,,,2.0,15,https://x.com/ObonyoImelda/status/1809306567579468005,https://x.com/ObonyoImelda,@KenyaPower_Care we don't have electricity now for 4 hours. There was no scheduled interruption whatsoever meter no 14419907812,5-Jul,,,,,
Webster,@web__ster,,,,,106,https://x.com/web__ster/status/1809112594118053902,https://x.com/web__ster,@KenyaPower_Care power outage in Kasarani Equity bank area despite not planned for interruption. ACT ASAP,5-Jul,,,,,
DjGianAfrica,@AfricaGian86858,,,,1.0,117,https://x.com/AfricaGian86858/status/1808576344969621864,https://x.com/AfricaGian86858,"Good evening , meter number 14107204142, we are having power issues atleast twice everyweek at night, in a specific line here in My area, checking your account i do not see power interruption scheduled for that particular time ,for example now...happens everyweek and its too much",3-Jul,,,,,
Django,@mickyjagah,,,,1.0,470,https://x.com/mickyjagah/status/1808370948518633897,https://x.com/mickyjagah,"We lost power yesterday in Lolwe Estate, Kisumu at around 6:45 pm.
Some blocks have power but some don't. Look into the matter so we can at least charge our devices before the scheduled power interruption.",3-Jul,,,,,
Sheez Esther,@SheezEsther1,,,,,121,https://x.com/SheezEsther1/status/1808039986752553379,https://x.com/SheezEsther1,@KenyaPower_Care there's no scheduled power interruption today in kitengela. Mmepeleka wapi stima???,2-Jul,,,,,
Spruce Writing,@SpruceWriting,,,1.0,2.0,26,https://x.com/SpruceWriting/status/1807714451744841752,https://x.com/SpruceWriting,@KenyaPower_Care @KenyaPower what’s the issue stima kupotea potea bila sababu..this monopoly is now getting to me and there’s no power interruption scheduled ..you guys need some competition muache kulala..can you fix this 54602665462.. I need to work.,1-Jul,,,,,
𝗦𝘁𝗲𝗿𝗹𝗶𝗻𝗴,@wheressterl,,,,,11,https://x.com/wheressterl/status/1807455437282791466,https://x.com/wheressterl,"What's up @KenyaPower_Care? The planned power interruption was supposed to end at 3pm and its 7.45pm

Ama pia nyinyi mnataka salamu?",30-Jun,,,,,
jac jack,@jacjack254,,,,1.0,13,https://x.com/jacjack254/status/1807040026741453301,https://x.com/jacjack254,"I think a whole day's interruption needs to be communicated, this is so unprofessional kplc. I think when we are done wth this bill, we should now come for you guys. It's too much",29-Jun,,,,,
Nderitu Gerald,@Gerahinjo,,,,1.0,179,https://x.com/Gerahinjo/status/1806579840029462640,https://x.com/Gerahinjo,"@KenyaPower_Care hi kplc, is there a planned power interruption In Kabati, Kenol. We have no electricity since 5. 30am today morning. Please advise",28-Jun,,,,,
When will Congo  be free?,@AdhisUgenya254,,,,,291,https://x.com/AdhisUgenya254/status/1805657389770637680,https://x.com/AdhisUgenya254,We need the interruption now. We don't want to hear his address,25-Jun,,,,,
Michael Odhiambo,@OdhiamboMaikol,,,,,22,https://x.com/OdhiamboMaikol/status/1804783006969651428,https://x.com/OdhiamboMaikol,@KenyaPower_Care is there a scheduled power interruption in some parts of Nairobi today Sunday 23.06.2024?,23-Jun,,,,,
Johnson Weru,@WeruJohnson,,,,,21,https://x.com/WeruJohnson/status/1804412082328064086,https://x.com/WeruJohnson,@KenyaPower_Care please restore power to account number 37171339338. Our area is not under scheduled interruption.,22-Jun,,,,,
Ochieng Malo,@OchiengMaloKE,,,,,163,https://x.com/OchiengMaloKE/status/1804034046994857991,https://x.com/OchiengMaloKE,I don’t see Adams Arcade yet there is interruption,21-Jun,,,,,
Kevin Njuguna,@Kvnnjuguna,,,,1.0,31,https://x.com/Kvnnjuguna/status/1803464552031322382,https://x.com/Kvnnjuguna,"@KenyaPower_Care we have had power interruption from yesterday at imara Daima. What is the issue, meter no. 14284839769",19-Jun,,,,,
brenda oduor,@oduorb2,,,,2.0,96,https://x.com/oduorb2/status/1803309713599197606,https://x.com/oduorb2,No power mbagathi highrise yet no scheduled interruption.,19-Jun,,,,,
𝑅𝑂𝑁,@Ron4sheezy,,,,1.0,51,https://x.com/Ron4sheezy/status/1802964457376612384,https://x.com/Ron4sheezy,Was there power interruption scheduled for Ruiru Kimbo?,18-Jun,,,,,
bilha,@rocky43448249,,,,,115,https://x.com/rocky43448249/status/1802737730884903396,https://x.com/rocky43448249,Stabilize power in busia malaba. Hii Stori ya on off will burn the house. Again the planned interruption doesn't help at all. Kenya power busia can not have power like for the all day. Never it must go off at least severally in a day. Do something,17-Jun,,,,,
daniel thomas,@danielt2874,,,,4.0,52,https://x.com/danielt2874/status/1802722098365743260,https://x.com/danielt2874,We don't have power in Matende area Kakamega since morning what's the issue and we were not alerted on on schedule of power interruption,17-Jun,,,,,
Linzy Moran,@MelxsinGeta,,,,2.0,27,https://x.com/MelxsinGeta/status/1802414643937251351,https://x.com/MelxsinGeta,"@KenyaPower_Care parts of Nakuru have had the power dusrupted from 6:30pm,how long is will the interruption take",16-Jun,,,,,
Peere,@peere_poet,,,,1.0,140,https://x.com/peere_poet/status/1801836738131734935,https://x.com/peere_poet,Good morning is parts of Kasarani maternity a part of the planned interruption there’s not been power since yesterday almost 24hrs now. Metre no 54601836866,15-Jun,,,,,
McCow,@Justagyallie,,,,2.0,53,https://x.com/Justagyallie/status/1800776386980032858,https://x.com/Justagyallie,@KenyaPower_Care Any power interruption notice for Syokimau area?,12-Jun,,,,,
Nicjess,@Jessexplora,,,,4.0,52,https://x.com/Jessexplora/status/1800068484774453291,https://x.com/Jessexplora,"@KenyaPower_Care Hi, power outage in my area from 10.00 am this morning. Our area is however not scheduled for power interruption for maintenance. Kindly restore. Account number is 01451161614",10-Jun,,,,,
Tiny Miss Guided,@NyawiraMsguided,,,,1.0,135,https://x.com/NyawiraMsguided/status/1800045826812809680,https://x.com/NyawiraMsguided,There is no power in regen  How long should the interruption last?,10-Jun,,,,,
Shaleen Ndegwa,@ndegwa_shaleen,,,,3.0,461,https://x.com/ndegwa_shaleen/status/1798708080818991535,https://x.com/ndegwa_shaleen,Why is there no power in Syokimau and the same had not been listed in your scheduled power interruption schedule????,6-Jun,,,,,
elvine virrah,@EVirrah,,,1.0,2.0,155,https://x.com/EVirrah/status/1798671023505854776,https://x.com/EVirrah,"Where does lucky summer fall in your posted power interruption, two days running there hasn't been electricity",6-Jun,,,,,
aaron rono,@aaronrono330681,,,1.0,2.0,139,https://x.com/aaronrono330681/status/1798635127704367114,https://x.com/aaronrono330681,Why don't we have power at Syokimau yet not on the scheduled areas for interruption?,6-Jun,,,,,
Promises Kept,@eduinata,,,,1.0,44,https://x.com/eduinata/status/1797259776709058791,https://x.com/eduinata,Hey @KenyaPower_Care I bought tokens in the morning. Yet to receive that message. I thought this interruption was scheduled for 10 pm tonight?,2-Jun,,,,,
Liej Mumbo,@gmagak,,,,,59,https://x.com/gmagak/status/1797127059593904332,https://x.com/gmagak,Our area is not listed but has had interruption since yesterday 7pm. Are you aware?,2-Jun,,,,,
jane muleli,@janemuleli,,,,,3,https://x.com/janemuleli/status/1796956898081583418,https://x.com/janemuleli,"@KenyaPower_Care we were not informed that there would be an interruption of electricity at uthiru,Mugi road today in the neighborhood of muthua health center. Does it mean we shall be today and tomorrow 2 June 2024",1-Jun,,,,,
Riako David KE,@david_riako,,,,3.0,85,https://x.com/david_riako/status/1796596882577424414,https://x.com/david_riako,"@KenyaPower_Care it's now 1hr we don't have power the all nyamataro area in kisii. 
And unfortunately you guys don't give a notice that their will be power interruption.",31-May,,,,,
V4d,@4dvin,,,,1.0,40,https://x.com/4dvin/status/1796221281479590144,https://x.com/4dvin,"Is this interruption still on? No power in some areas of Kiambu (kiambu mall area), Rockline since 3pm! Yestarday we had interruptions whole night! Kindly advice!",30-May,,,,,
HK,@shaney_80,,,,4.0,113,https://x.com/shaney_80/status/1796197563634217388,https://x.com/shaney_80,"Just had unscheduled power interruption, loud blast heard towards our area transformer. Ref: 11352056",30-May,,,,,
Mukami Mugo,@Jacqueline_emma,,,,1.0,32,https://x.com/Jacqueline_emma/status/1796063527909679211,https://x.com/Jacqueline_emma,"@KenyaPower_Care please check on lights in Mkomani area. We were not scheduled to have an interruption today as per your list, but we currently don't have lights. This is niw day 2",30-May,,,,,
Mukami Mugo,@Jacqueline_emma,,,,,28,https://x.com/Jacqueline_emma/status/1795839355006923025,https://x.com/Jacqueline_emma,"We are still in darkness at Mkomani, has the scheduled power interruption been extended by any chance? Metre number is 131917805",29-May,,,,,
Claire Okere,@ClaireOkere,,,,,76,https://x.com/ClaireOkere/status/1795715225007886497,https://x.com/ClaireOkere,Power outage in Highrise with no scheduled interruption.,29-May,,,,,
Mtoto wa CS,@FelixShedy,"https://pbs.twimg.com/media/GOtouxVXAAAfXPF?format=jpg&name=900x900, https://pbs.twimg.com/media/GOtouxVXAAAfXPF?format=jpg&name=900x900",,,,24,https://x.com/FelixShedy/status/1795644031961301162,https://x.com/FelixShedy,@KenyaPower_Care We are still in May. I thought the interruption is slotted for June. I am unable to purchase tokens.,29-May,,,,,
Carol_M,@Twit_twins,,,,,215,https://x.com/Twit_twins/status/1795519433265336738,https://x.com/Twit_twins,It seems my area is scheduled for interruption every one day after another. I'm still in the dark in Kikambala. I already gave my accounts on DM,28-May,,,,,
BASHE X!,@BASHEEX1776,,,,,22,https://x.com/BASHEEX1776/status/1795375644219695263,https://x.com/BASHEEX1776,One more thing as an essential utility provider you should invest more in technology like smart meters that will give details like precise location in case of blackout or emergency power interruption which makes response quick!,28-May,,,,,
George Mungai,@george_mungai,"https://pbs.twimg.com/media/GOkNYwqWgAAoHoU?format=jpg&name=large, https://pbs.twimg.com/media/GOkNYwqWgAAoHoU?format=jpg&name=large",,,,8,https://x.com/george_mungai/status/1794980649914274019,https://x.com/george_mungai,There is no notice of a power interruption today yet we have lost power this morning,27-May,,,,,
soft lifeist,@marqmoolar,,,,,36,https://x.com/marqmoolar/status/1794073007809335417,https://x.com/marqmoolar,@KenyaPower_Care my power is the only one still off after some interruption. Check dm for details,24-May,,,,,
The millionaire,@Nathanielwanje6,,1.0,2.0,2.0,109,https://x.com/Nathanielwanje6/status/1793913674241036712,https://x.com/Nathanielwanje6,@KenyaPower_Care why is there no power in Ongata Rongai and according to the power interruption we were not part of it that is what we were raising in yesterday's kplc  interaction on citizen TV you should alert customers  in advance,24-May,,,,,
Chef Wa Kiambu,@chefwakiambu,,,1.0,4.0,177,https://x.com/chefwakiambu/status/1793156455194837442,https://x.com/chefwakiambu,@KenyaPower_Care mumeamua kiambu town tukae hivi since yesterday. Blackout and I see no scheduled interruption,22-May,,,,,
Godfather,@Jmoh_graffix,,,1.0,,195,https://x.com/Jmoh_graffix/status/1793023335674109970,https://x.com/Jmoh_graffix,Do you mean this scheduled interruption is for tomorrow 22/5/2024 or for today 21/5/2024 coz here in Gitaru we've spent the best part of the day ( 9am to 5pm) without power. Please clarify Otherwise mnatuchezea!,21-May,,,,,
Charity Muriithi,@burgundyblend,,,,,45,https://x.com/burgundyblend/status/1792082568998695108,https://x.com/burgundyblend,"Is there scheduled interruption at 1201920 area? We have no lights, pls assist.",19-May,,,,,
Ty Cky,@Cktytuz,,,,,75,https://x.com/Cktytuz/status/1792059972752134325,https://x.com/Cktytuz,"Is makutano chumvi part of scheduled power interruption, no electricity, annoying unstable supply.",19-May,,,,,
Muheria,@KahuTim,,,,1.0,62,https://x.com/KahuTim/status/1791861587982049746,https://x.com/KahuTim,Ngoingwa estate which yesterday experienced a power interruption which lasted until around 2200hrs is today again in darkness you can’t make this up @Eskom_SA is now where we’re headed!,18-May,,,,,
Kate Gabriel,@iamKate_Gabriel,,,,,21,https://x.com/iamKate_Gabriel/status/1791740218971746328,https://x.com/iamKate_Gabriel,"No power in Ngoingwa after the planned power interruption, over 24 hours now",18-May,,,,,
Kate Gabriel,@iamKate_Gabriel,,,,,21,https://x.com/iamKate_Gabriel/status/1791740218971746328,https://x.com/iamKate_Gabriel,"No power in Ngoingwa after the planned power interruption, over 24 hours now",18-May,,,,,
Kuria Mungai,@KuriawithanOU,,,,1.0,126,https://x.com/KuriawithanOU/status/1791560979588768001,https://x.com/KuriawithanOU,Still no power in Ngoingwa following this planned interruption. What's up??,17-May,,,,,
Girl Hiker,@Marsha__K,,,,,111,https://x.com/Marsha__K/status/1790637065656258888,https://x.com/Marsha__K,@KenyaPower_Care which areas are yo be affected by power interruption today?,15-May,,,,,
Dr. Joshua,@JoshuaOrwaru,,,,1.0,32,https://x.com/JoshuaOrwaru/status/1790357381735432540,https://x.com/JoshuaOrwaru,"We have had power off for the last 2/3 wks,. Interruption is nothing at all.",14-May,,,,,
Ismail The Grand Guru X'es,@machokali_071,,,,,235,https://x.com/machokali_071/status/1790087763687100587,https://x.com/machokali_071,Why this constant interruption ?,13-May,,,,,
Mkenya,@Jacquelshi,,,,,29,https://x.com/Jacquelshi/status/1790070394281500704,https://x.com/Jacquelshi,"@KenyaPower_Care  Daily power interruption @AIC Gataka road. One phase.
We have complained and it's a temporary fix & we back to zero. Annoying 
ACC.14468896817",13-May,,,,,
Mr Vayolence.,@MrVayolence,,,,,3,https://x.com/MrVayolence/status/1790042788484026823,https://x.com/MrVayolence,"@KenyaPower_Care @KenyaPower

Power interruption reported from 6 am. Follow up calls on why the matter is yet to be sorted it's determined that your staff said they already dealt with the issue which is false..",13-May,,,,,
Ken Njoroge,@Kenmukigi,,,1.0,,235,https://x.com/Kenmukigi/status/1789698927287017710,https://x.com/Kenmukigi,"Kindly return power to us, your interruption started on thursday and we are yet to get power 4 days later .... Actually its 5 days given the time we lost power",12-May,,,,,
Carol,@cmutuga,,,4.0,,213,https://x.com/cmutuga/status/1789549989233877495,https://x.com/cmutuga,Hi we are experiencing power outage in Langata NHC account no is 01450385735 yet we are not scheduled for interruption,12-May,,,,,
Laban Muhindi,@laban_muhindi,,,,1.0,1.8K,https://x.com/laban_muhindi/status/1789133708114395267,https://x.com/laban_muhindi,Hi Vihiga county near chavavo secondary we are having power interruption for the past 4 days .....the power is in little voltage and can not light up house bulbs or even televisio please assist we are in total darkness,11-May,,,,,
Manuela,@Emmanue05248925,,,,,40,https://x.com/Emmanue05248925/status/1789080534984867982,https://x.com/Emmanue05248925,Moisbridge tumezoea black out without this notice of power interruption na ni town aki Kenya power mko na jokes,11-May,,,,,
Repo,@EmiRepo,,,,1.0,31,https://x.com/EmiRepo/status/1788803169054539869,https://x.com/EmiRepo,"@KenyaPower_Care Power interruption, 2nd Day,  at Mkanju Court Komarock , Meter Number 37155573183, kindly assist.",10-May,,,,,
Rehema Cheyech,@rcheyech,,,,2.0,26,https://x.com/rcheyech/status/1788217553392648424,https://x.com/rcheyech,@KenyaPower_Care Was there planned power interruption today? Just got home no power whole day at Westlands near Chemusian dairy 92103721053,8-May,,,,,
Kewango,@kewango,,,,,282,https://x.com/kewango/status/1786830329115771076,https://x.com/kewango,"Tuala, Rongai, two weeks bila stima. You carried the transformer away. Is this interruption or we should continue going to bed early like chickens?",4-May,,,,,
Stanley Karuga,@DrGithuaKaruga,,,,,62,https://x.com/DrGithuaKaruga/status/1786811496598528465,https://x.com/DrGithuaKaruga,@KenyaPower_Care Hello concerned. I'd like to report an incident at Mwihoko Githurai. We're currently having an interruption in our power supply with it being dim. We'd appreciate your prompt address to this issue. Meter no 54601908814. Check DM for more information,4-May,,,,,
Ndung'u Kariuki,@ndungukariuki27,,,,,20,https://x.com/ndungukariuki27/status/1786667207973278125,https://x.com/ndungukariuki27,@KenyaPower_Care Power interruption at Mtr 45045291,4-May,,,,,
Painter,@Painter32463941,,,,,66,https://x.com/Painter32463941/status/1786651588427202622,https://x.com/Painter32463941,"@KenyaPower_Care no lights in utawala opposite AP, no scheduled interruption. Kindly check. Meter no 37207983158",4-May,,,,,
Farad Sharmarke,@farsharm,,,,,17,https://x.com/farsharm/status/1786648464622841928,https://x.com/farsharm,"Seems KP couldn't fix  problem that blighted few properties, whereas surrounding properties' power is OK. Nothing to do with announced area outages, bur we are part of estate, and got interruption in every few days, not weeks.
Mtr no 04225794140",4-May,,,,,
Nicole polo,@Nicole_polo,,,,,35,https://x.com/Nicole_polo/status/1786643246413730298,https://x.com/Nicole_polo,Mt no 31403876 no power.kindly confirm if the interruption is with the main power line.,4-May,,,,,
Ruto Must Go,@nelkarimi,,1.0,3.0,1.0,232,https://x.com/nelkarimi/status/1786466588322832824,https://x.com/nelkarimi,No power again at kamakis area. We’ve been experiencing power interruption everyday for the last one week.,3-May,,,,,
Mathenge Wahome®,@mathenge_wahome,,,,2.0,507,https://x.com/mathenge_wahome/status/1785977906398711900,https://x.com/mathenge_wahome,What about us who have been without power since Tuesday what planned or unplanned power interruption are we in KPLC Ref No 11163689 Metre No 14107180664. Please look into this issue,2-May,,,,,
Ruto Must Go,@nelkarimi,,1.0,3.0,1.0,232,https://x.com/nelkarimi/status/1786466588322832824,https://x.com/nelkarimi,No power again at kamakis area. We’ve been experiencing power interruption everyday for the last one week.,3-May,,,,,
Mathenge Wahome®,@mathenge_wahome,,,,2.0,507,https://x.com/mathenge_wahome/status/1785977906398711900,https://x.com/mathenge_wahome,What about us who have been without power since Tuesday what planned or unplanned power interruption are we in KPLC Ref No 11163689 Metre No 14107180664. Please look into this issue,2-May,,,,,
ariko joan okaya,@arikojoanokaya,,,,,4,https://x.com/arikojoanokaya/status/1785931149488918709,https://x.com/arikojoanokaya,I have posted and asked the same question when are people in Kayole having power ...we do not have power since Saturday. This is not power interruption but injustice to people of MASIMBA Kayole.,2-May,,,,,
Raycheal Ndegwa,@NdegwaRaycheal,,,,,205,https://x.com/NdegwaRaycheal/status/1785902756101796275,https://x.com/NdegwaRaycheal,"Our area isn't on the scheduled interruption list yet every morning we don't have electricity in our area.Githurai 45,mwihoko primary area",2-May,,,,,
Philip,@Philip10574041,,,,,133,https://x.com/Philip10574041/status/1785739415362445546,https://x.com/Philip10574041,This  power interruptions  his being story of the day we have experience the interruption for 5 weeks # kamau Kahuho,1-May,,,,,
Tepeyian Rissah,@tepeyian,,1.0,1.0,3.0,265,https://x.com/tepeyian/status/1785690427552641429,https://x.com/tepeyian,@KenyaPower_Care strangely we are never on a planned interruption schedule meaning you don't even plan to look into our power problems. Been on and off all day. Now dim posing risk of a surge that will take out our electronics. I'm a disappointed Kenyan. Do better! #thindigua,1-May,,,,,
Daniel Wahome,@_DanielWahome,,,1.0,1.0,68,https://x.com/_DanielWahome/status/1785554403082027141,https://x.com/_DanielWahome,"Twinbirds Kamulu area
No power not in the interruption list
Account no: 25963168
Kindly assist",1-May,,,,,
kimzy,@equifirst11,,,,,184,https://x.com/equifirst11/status/1785394831721725973,https://x.com/equifirst11,"@KenyaPower_Care @KenyaPower 
Toll, Ruiru hakujakuwa na stima since monday night, the whole of tuesday na bado. Any explanation would be appreciated coz it was not notified on the expected interruption list.",30-Apr,,,,,
Джеймс,@Jamesthou,,1.0,1.0,2.0,269,https://x.com/Jamesthou/status/1785352225856123348,https://x.com/Jamesthou,"@KenyaPower_Care ,@KenyaPower  why is it abnormal to have constant power supply in Thindigua? A week can't go by without power loss,come shine come rain. It has become normal to have power loss.Lived in  areas where there were hardly power interruption,hapa your services stink!",30-Apr,,,,,
renjiSAN,@renjiSAN,,,,3.0,36,https://x.com/renjiSAN/status/1785349535516037281,https://x.com/renjiSAN,@KenyaPower_Care assistance needed. Power interruption with power surge reports in Komarock Phase 2 area. Kindly assist,30-Apr,,,,,
Munge Gathecere,@MGathecere,,,,1.0,10,https://x.com/MGathecere/status/1785261780626772414,https://x.com/MGathecere,Whee is Kilifi na hakuna moto. Interruption since the beginning of the month,30-Apr,,,,,
Mo,@Moffah,,,,5.0,41,https://x.com/Moffah/status/1785239288885522909,https://x.com/Moffah,@KenyaPower_Care was there any scheduled power interruption in Ngara? We can't work due to a power outage since morning...,30-Apr,,,,,
mburu karanja,@mburu_ka,,,,1.0,28,https://x.com/mburu_ka/status/1785213442783125695,https://x.com/mburu_ka,"@KenyaPower_Care Fix the power outage...smh, every damn week we have to get an interruption. kwani ni skuma mnakatakata?? Details in dm",30-Apr,,,,,
_its. triplod. _,@ITriplod,,,,,10,https://x.com/ITriplod/status/1785195612415168769,https://x.com/ITriplod,I don't see Machakos in this power interruption yet there is no power ...What's happening,30-Apr,,,,,
RatedBountyKilla YT,@BillowYaqub,,,,3.0,101,https://x.com/BillowYaqub/status/1785042088796496072,https://x.com/BillowYaqub,"Donholm, how many times Kuna interruption. there has been 5 interruptions just this month",29-Apr,,,,,
kelvin kinuthia,@kinuthiakm,,,,3.0,84,https://x.com/kinuthiakm/status/1784969520781668402,https://x.com/kinuthiakm,"@KenyaPower_Care we have no power since 3pm today along karen Dagoretti road, zanetta apartments. My acc no is 26813202. Is this a scheduled power interruption?",29-Apr,,,,,
EliasTheDon,@Kamaaleh,,1.0,,,39,https://x.com/Kamaaleh/status/1784667436496679065,https://x.com/Kamaaleh,"@KenyaPower_Care @KenyaPower as per your notice yesterday and today there was no power interruption at huruma, the lights have been off since 10am, i thought zitarudi by 6 as you always do but no, insecurity sai iko top, please work on reconnecting the lights",28-Apr,,,,,
Lameck Okeyo,@lamokeyo,,,,1.0,28,https://x.com/lamokeyo/status/1784595495639216327,https://x.com/lamokeyo,What is the time this interruption was to end? Am in Kibos and my neighbors have power restored already and my line has no power!!!!!! Please reconnect us we need the service urgently for I am using an electric car and need to use it tomorrow,28-Apr,,,,,
paul Mugo,@paulMug44283375,,,,,12,https://x.com/paulMug44283375/status/1784490113503797446,https://x.com/paulMug44283375,"We have no power now , and we aren't listed above . It's a second day in a low interruption. It's disabling us now",28-Apr,,,,,
Kambuanotthesinger,@Kambuadamaris,,,,,18,https://x.com/Kambuadamaris/status/1784459034097045602,https://x.com/Kambuadamaris,"@KenyaPower_Care no power at account no. 14140062903 since yesterday and we're NOT on the list for interruption. 
Kindly  resolve",28-Apr,,,,,
Lameck Okeyo,@lamokeyo,,,,1.0,28,https://x.com/lamokeyo/status/1784595495639216327,https://x.com/lamokeyo,What is the time this interruption was to end? Am in Kibos and my neighbors have power restored already and my line has no power!!!!!! Please reconnect us we need the service urgently for I am using an electric car and need to use it tomorrow,28-Apr,,,,,
paul Mugo,@paulMug44283375,,,,,12,https://x.com/paulMug44283375/status/1784490113503797446,https://x.com/paulMug44283375,"We have no power now , and we aren't listed above . It's a second day in a low interruption. It's disabling us now",28-Apr,,,,,
Kambuanotthesinger,@Kambuadamaris,,,,,18,https://x.com/Kambuadamaris/status/1784459034097045602,https://x.com/Kambuadamaris,"@KenyaPower_Care no power at account no. 14140062903 since yesterday and we're NOT on the list for interruption. 
Kindly  resolve",28-Apr,,,,,
Arufeni,@arufeni,,,,,41,https://x.com/arufeni/status/1784457652203888970,https://x.com/arufeni,"@KenyaPower_Care no power at 307488 and we're NOT on the list for interruption. 
Please resolve",28-Apr,,,,,
McCow,@Justagyallie,,,,1.0,94,https://x.com/Justagyallie/status/1784429159722209340,https://x.com/Justagyallie,@KenyaPower_Care what's the update on power interruption around Kamakis area?,28-Apr,,,,,
v.e.s.t.y,@jm_slazy,,,1.0,,480,https://x.com/jm_slazy/status/1784279283608735841,https://x.com/jm_slazy,"Power interruption is when you have power,just repair since it's been off no worries",27-Apr,,,,,
Distantspectator,@Spectatedistant,,,,1.0,139,https://x.com/Spectatedistant/status/1784049980098937203,https://x.com/Spectatedistant,Jambo blackout on Hatheru road but not on your power interruption schedule kindly assist asante,27-Apr,,,,,
Gathingi,@WanjikuGathingi,,,,3.0,43,https://x.com/WanjikuGathingi/status/1783813689016987847,https://x.com/WanjikuGathingi,@KenyaPower_Care Hi we have been having power interruption on and off and bulbs flickering Ac number; 37176353326 please assist Asante!,26-Apr,,,,,
Elsy Njeru,@NjeruElsy,,,,1.0,11,https://x.com/NjeruElsy/status/1783804040788300118,https://x.com/NjeruElsy,Lucky they are for it's an interruption. Mimi niliona na stima 5days ago after your power supply bursted near Lumac apartments Zimmerman,26-Apr,,,,,
Catherine Ritah,@ritahmwagira,,,,4.0,462,https://x.com/ritahmwagira/status/1783122280719011890,https://x.com/ritahmwagira,@KenyaPower_Care we are not scheduled for interruption @54400862519 kindly assist,24-Apr,,,,,
Kerry Belchambers,@trish_kerry,,,,6.0,64,https://x.com/trish_kerry/status/1783065457500512630,https://x.com/trish_kerry,"We've been having power interruption all week, they're on and off, 2 days of sleeping in the dark at Clifftop Estate, Muchatha, and you don't seem to care enough to do anything about it.",24-Apr,,,,,
Liej Mumbo,@gmagak,,,,,124,https://x.com/gmagak/status/1782801006881071114,https://x.com/gmagak,Is the current interruption of service at my account shared in DM part of your scheduled maintenance? @KenyaPower,23-Apr,,,,,
Ricky Warutere,@ericwarutere,,,,3.0,46,https://x.com/ericwarutere/status/1782696677373063431,https://x.com/ericwarutere,"I know what the issue is, and the progress on fixing it. But why do we have to have an issue every other day? Can't remember the last time we went 3 days without a power interruption.",23-Apr,,,,,
Distantspectator,@Spectatedistant,,,,,148,https://x.com/Spectatedistant/status/1782485758177116166,https://x.com/Spectatedistant,Jambo. Blackout on Hatheru road since 6pm. but it is not appearing on your power interruption schedule kindly assist asante,22-Apr,,,,,
Kay mrimbo,@maseghe,,,1.0,4.0,3.8K,https://x.com/maseghe/status/1782468398045073882,https://x.com/maseghe,"We've had no electricity in athi river the whole day till now and we weren't part of the scheduled interruption areas. It's now over 14 hours in black out!!!!
Meter number: 92100403614",22-Apr,,,,,
Kevin Murungi,@AuthorKevinPope,,,,,647,https://x.com/AuthorKevinPope/status/1782430993946693829,https://x.com/AuthorKevinPope,"Interruption of power supply has LASTED 10days in Mutuati Town, Igembe North. The sub county hospital is in darkness. Businesses are burning fuel daily. Your office at Maua,responsible for this line has not bothered. They removed a transformer in COMATOSE and brought a DEAD one!",22-Apr,,,,,
Shemeji,@Treenafula,,,,1.0,33,https://x.com/Treenafula/status/1781759071328031177,https://x.com/Treenafula,Your power interruption was for the whole day PLUS the night?? It's past 5pm!!,20-Apr,,,,,
Santi kaito la,@robertkaito,,,,2.0,98,https://x.com/robertkaito/status/1781694518128988342,https://x.com/robertkaito,@KenyaPower_Care scheduled interruption should be over by now it's 5:40pm and still no power in South C AC. 45077216948,20-Apr,,,,,
