Post,Vader_sentiment_label,Post Link
dear language understand july still countingfrom connection paid full amount wonder broke lethargy incompetence laziness cc switchoffkplc,negative,
question sir company policy disconnect power every user long one illegal connection week since mokongeni nrb,negative,
seem understand photo especially broken part pole away could work contractor one illegal connections many works done contractors huko mashambani poor quality pole never used power lines,negative,
mum applied electricity connection meru county paid required amount september today almost august without connection almost year id whats advice,neutral,
kindly stop illegal connections become rampant cash cow employees estimated bills plug youre good go,positive,
individual applications rural areas delayed last mile program every time follow im told cant connected community applied last mile connection therefore wait power line passes thru home,negative,
kindly help fix metre number trying reload tokens past hours displaying connection failed token number,positive,
laying plans increase tariffs making higher profits increase pay understand customers plan b solar someone else come offer solar power connections credit terms equivalent monthly bills,positive,
eagerly waiting see happening forwarded application connection days ago,positive,
kenya power mkngi centre kinangop near ndunyu njeru weve stayed months without electricity transformer struck lightning date effort restore power connection nkt,positive,
kuweni serious tariff manenoz lowering rates might increase consumption new connections get deficit kazi yenu ni kumumunya pesa throw debt burden consumer utter nonsense,negative,
issd work mobile phoneas tried repeatedly telkom mobile phone get error connection problem mmi code error could please explain access telkom mobile phone,negative,
ineed power connections village homabay county ringa market numbers ican call get connected,neutral,
applied new power connection already paid ongata rongai rimpa area ref e months ago power connected yet need move new home,neutral,
problem began took transformers njenga slumsand tap power neighbourspipelineimara indstarea thru illegal connections underjob kplc bringbackpowertopipeline,negative,
please happening katani mwanganza area applied last mile connection february erected pole power cables since unable connect us every time told meters,positive,
power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,negative,
hello kevo power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,negative,
meter ialways pay monthly charge dont know involved illegal connectionour businesses depend loan pay cant guys use fair approach go using illegal connections dont victimise innocent kenyans,positive,
hello denis power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,negative,
good morning philo power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,positive,
good morning philo power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,positive,
good evening koima power area disconnected part crackdown illegal connections restoration ongoing following review connections please see donholm office related updates apologize outage resolved ef,positive,
u keep disconnecting powers even innocent customers name fake connection embakasi dont power past one week,negative,
hello kevo new connection please visit offices apply youll need copy id pin copy sketch map premise quotation issued survey thank ef,positive,
reducing cost electricity one indisputable ways bring end illegal connections,negative,
low voltage big problem electricity distribution imagine electricity connection cannot light fridge guard leave alone ruining fridge compressor low voltage,negative,
connection ref e applied last year got quotation year paid start march year call told wait waiting whensince see lorry kplc crisscrossing road every,neutral,
getting connection failed error message loading tokens whats systems,negative,
hey mnatuzoea bamburi btw hii mambo ya stima kupotea kila mara last week unprecedented dont understand trend late lights even going coming back often like someone playing connection wires work,positive,
dear kenya power make profits applied power connection year ago yet see progress everyday excuse power cables yet available cc,positive,
meter connection fail kindly assist meter,negative,
dear kenya power paid acc single phase electricity collection marura timber yard uasin gishu county date yard power connection kindly let know challenges overcome challenges,positive,
please assist overdelayed connection ref e kijabembauini plot,positive,
years waiting connection ghost donor funded lastmileconnectivity solar panels experts tell approximate cost simple house bulbs,negative,
team disconnected power tassia since morning response getting due illegal connections kijiji side sources might stay days without power company run professionally treat customers,negative,
serve thika office everyday system r paying new connection monthly bills meter separation ifikie,neutral,
needed badly n told funds withdrawn httpkplguysnow see reasons village still waiting connectionmeanwhile solar serve us,negative,
comments everyone needs electricity regardless live social economic status development stage pass kids demand internet connection possible electricity government done well,positive,
hapo disagree many people really love yearn electricity connection,positive,
good observation greater detail shouldve pricing govt talk connections day unit price high connections dead dodo,positive,
away last pole capacity instal pay power however last mile gave neighbors interested refused pay meter poles idling without connection two years ndhiwa homs bay county,negative,
reapply electricity connection plot powerline needs extension place,neutral,
least get didnt despite next tana generations still dark oh k connection aint option us either,neutral,
good evening austine new connection please visit offices apply youll need copy id pin copy sketch map premise youll advised process details thank ef,positive,
shanty food water power connection,neutral,
need slapped connection fees k still within transformer,neutral,
borrowed billions connections yes scam happening ages,negative,
bro parameters used ascertain households need power connection availability water stone built house much household save kerosene purchase environ conservation differ govt day many fronts,positive,
whereas connection electricity good thing payment monthly bills challenge poor without incomeand knowing kplc bills thats sth else true access clean water basic need electricity want,positive,
idea connections changing liveswew pigia kelele jamhuri estate tembea nachu ndeiya ujionee,neutral,
yesactually explained drop electric consumption per capita kwh kwh previous yeartheyre busy boasting increased electric connections per household yet households dont even need connectionthey need food,neutral,
none forced electricity connection please something important listening,positive,
kplc controlled cartels illegal connections genuine consumers otherwise bankruptcy long due,negative,
zoomteams meeting held stable connection many kenyans enjoying google balloons use competing provide worst connection experience dams full cant guarantee supply,negative,
energy drives economy cannot left fall kp used bait voters fake numbers connections revenue used wb loans build lines revenue generating electricity still political kenyakipipiri,negative,
hi kplcstill waiting action one month raised issue mediabeen waiting years power connectionref noebondosiaya county,neutral,
idea may know setup may work better theres power kplc connection pricier available,positive,
send officers disconnect power households without notice basis transformer approvals connections kiamuringa area embu countysome actions inhumane unnecessary,neutral,
reported low voltage last week friday rd july fridge microwave receiving enough power could go offon saturday th july engineers came ground found illegal connection removed requested returned report,negative,
last week friday reported low voltage house saturday engineers came ground found illegal connections disconnected carried wire usedthey requested see reconnected report immediatelyon wednesd,negative,
recently power outage metre attributed unscrupulous connections line popularly known sambaza power shortage yesterday unfortunately told metre cannot book power outage,negative,
applied new connection may th took wks get ref number since bado nangoja quotation kila siku told iko design stage tunaskia broke yet work ref e need power,negative,
long take applying connection making payment metres installed applied since dec,neutral,
long need beg connection regards application e even paying submitting documents need seek alternative energy,positive,
visited limuru office today told dont meters connection cables due procurement delays really come collect nairobi office hon naomba serikali,neutral,
long applying electricity connection designer come site assess give quotation pay thanks,positive,
hello wednesday dark shoddy connections done wokers restore power thikamakongenikisii estate near kplc substation reported offices enough need effective response,positive,
good morning tokens going throughstuck connection,positive,
reference noe mlolongo branch ive coming office following connectionthe response still backlog back kindly update,positive,
hello kikuvi new connection please visit offices download forms apply youll need copy id pin copy sketch map premise quotation issued survey thank ef,positive,
long paying new connection wait month already since made payment,neutral,
cook using electricity dont appled connection twice assistance plus quotations given high told pay poles k,negative,
transformer promised residents nyamborirangenya kothidha next andingo primary enable power connections since nothing forthcoming please help us connections done jatelo,negative,
much cost get electricity connection,neutral,
please tell ceo email issue project initiated poles wire put years electricity connection use poles wire request connect us pay contractor rude,negative,
long laxity responding issues raise long application connection quotation take months still counting got long incompetent functional silos man cs call centers losses,negative,
chief wins accolades paying power connection residents httpskenyanewsgokechiefwinsaccoladesforpayingpowerconnectiontoresidents,positive,
dear last mile electricity connection programme still going kindly advise application process installation cost,positive,
paid shsinitial connection fee within identified transformers charged contribution fee kshs,negative,
last mile project beneficiaries project pay contribution fee k termed contribution since total cost connection slightly higher amount httpskplccokecontentitemlastmileconnectivityprogramqa,positive,
one pay connection poles transformer dont know longer case,negative,
hello kplc asked question times avail come remote village siaya county ugenya sub county suffering due segregation last last mile connection like kenyans ids ready thank,positive,
fix token connection fail meter,negative,
lost power connection acc nokindly assist,negative,
plot obama estate next obama office dont think kplc vetted house connection done illegally owner house mca something,neutral,
receive error incmsblss invalid system configuration detectedincmsblex error address duplicated different work request facilities generation applying new connection help,negative,
cant load tokens yet ive paid keeps saying connection failure account number,negative,
dear kplci waiting connection since bondo areathe power line metres housetransformer much within gridbeen office times,positive,
needs power connection power socket connected extension cable,neutral,
corruption official kplc wonder havent released recommended bribe tariff staff following issue power connection application syokimau mlolongo guys soliciting bribe ndio wakaweke stima months,positive,
new connections option missing kplccoke,negative,
also need information regarding meter includes meter need connection power socket connected one house extension cable connected require batteries install new ones sw,neutral,
area isolated tumenyimwa transformer power yet surrounded areas electricity connections help tupate transformer,positive,
concerns greatwall est electricity power connections grave thanks assigned teams follow matter complains bills shock interms losses kazi inacome,negative,
many thanks action jana arresting edermman mgmt thugscrooks greatwall est athiriver extorting residents stealing public cash illegal electricity billing connections kplc remains legit service provider,negative,
kindly us favour bomet centralkoma villagewe need electricity pleaselast mile power connection,positive,
whole experience distorted e learning hard enough physical classes online classes connections problems know love protect lines rainy seasons,positive,
hey still serious last mile electricity home wiring everything waiting meter box connection homestead taking foreverplease hurryonline exams becoming need power kipsamoonandi hills nandi county,negative,
hey still serious last mine electricity connection nandi hills nandi county home wring months ago still waiting power seriously,negative,
kindly check connection one line without power ngong pcea church area,positive,
kindly restore power imara daima check dangerous connections near mastermind stage,positive,
please check kinoo area connection need lights back newborn quite hard deal darkness,negative,
despite several energy parastatals government agencies ketraco gdc power prices remains high even power connection elusive needs change budgetke uhurusbudgetbreakdown,negative,
applied connected electricity despite fact transformer neighborhood overcharged another person given free connection without meter,positive,
legal people beneficiaries illegal connections never disconnect watch prove wrong,negative,
applied time till fed kabarnet office theyre requesting k poles connection,neutral,
even km away nearby connection,neutral,
busy advocating new connections alot incomplete projects,neutral,
hello kirui ac disconnected due defaulted bill overdue illegal connection termination request customer irregularity related power supply thank ef,negative,
meter maili saba opposite chiefs office power since yesterday evening plz check connections,positive,
guys worst customer care staff emali makueni dont respond customers requests electrocitu connection years still counting since applied connection,negative,
th october paid new connection mwea kirinyaga county ref ehad promised get connection within weeks months later im still taken round circles,positive,
meter maili saba opposite chiefs office power plz check connections,positive,
applying electricity years nowyour office emali advised apply group far communication jist send guys access went mum remember president uhuru said electricity connection k,neutral,
applying electricity years nowyour office emali advised apply group far communication jist send guys access went mum remember president uhuru said electricity connection k,neutral,
much new connection,neutral,
paid power connection february today connected ruiru visited offices multiple times still support kindly assist,positive,
hello nandi county kapsabet district chesumei constituency mwein village applied power connection along time ago reference number unfortunately nothing ever done kindly help id number,negative,
demand check whether connections done legally like machakos,positive,
check electricity vandalising illegal connections tasiacorner tarmaced road offnaks supermarket high ladders galvanized wires used tap makeshift buildings saw atleast guys hrs,negative,
lend hand connections,positive,
hellowould mind cheking whats electricity connection tena umojaniko na cake kwa oven jameni,neutral,
following matter weeks electricity application made months ago connection yet yrs since independence still going see people supposed give us electricity,positive,
good morning great team kplc happy madaraka day humble question come remote village ugenya siaya county segregated last mile power connection still benefit thank,positive,
world bankfunded unsolicited rural power connection aim poorly researched fake news article seek achieve,negative,
today individual called asking pay electricity bill month may insisted pay cut power connection house engaging found hes conman,negative,
good afternoon noah new connection please visit offices apply youll need copy id pin copy sketch map premise youll advised process details thank ef,positive,
funded unsolicited rural power connection hurting financials cc kenya power flags low business states rural connections plan business daily,negative,
save today survive tomorrow get faster electricity connection apply online portal httpskplccoke newconnections en,positive,
months applied paid gave certificates still connection yet drop,negative,
save power energize future apply electricity connection portal httpskplccoke newconnections en,positive,
like state owned entities boardrooms filled political rejects failures inexperienced directors often reward political connections expense merit reason cannot growimprove service deliveryare perennially making losses,positive,
good evening issue token meter try load tokens says connection fail meter number location thindigua foresight apartments currently display amount tokens left,negative,
build house apply online connection electricity bravo kplc,neutral,
applied several times new connection date got way forward got two times quotation kshs,neutral,
want apply new connectionadditional load meter separation temporary power supply click away apply online website httpkplccoke,positive,
connection done munami market kakamega county matungu sub county since till power business stalled please cant transfer ur staffs mumias officethese people pathetic,negative,
team kakamega set cost ksh per post even without feasibility studyand also cant get connection nearest pole belongs neighbor refused,negative,
team kakamega insisted cost kshper post even without conducting feasibility studyand cant also get connection nearest pole simply neighbor refusedi thought installed poles property kplc,neutral,
one week later never given feedback concern months since payment electricity connection made power yet payment done,neutral,
happeningback forth connection since account e loitoktok kajiado county,neutral,
havent checked connection fee supposed pay want know,negative,
day wiring home gave us last mile connection one days mom brightest smiles bless forever first evening switched security lights sat outside beating stories almost pm,positive,
trying apply power connection online getting message,neutral,
connection waited eight years installation transformer access services,neutral,
save power energize future apply additional electricity connections meter separation temporary connections selfseviceportal en,positive,
applied power connection year got quotations made payment uptodate connected power whats issue site subukia gituamba area reference number e,positive,
hongera wonderful job guyz problem areas illigal connection especially slums kama mukuru time guyz order every person owns house required connection,positive,
customer application number e syokimaukatani application connection done paid months ago power yet check dm details,positive,
kindly enlighten client makes application connection last year gets quotation makes necessary payment months payment still waiting connection lets start talking,positive,
kplc pathetic us applied new connections jan gotten connections metre feedback response,negative,
strive staypositive fight covidke apply new additional meter separation temporary electricity connections selfserviceportal en,negative,
hahayes changed kenya power distribution service kenya power connection service ridiculous monopoly today name company,negative,
laziness highest order competitor since installed connection long take look maintenance,neutral,
comes national outage coincides ugandas outage fixed connection,neutral,
meter kindly note power connection place kindly assist us,positive,
ref number e issued january new connection assisted kindly assist ef,positive,
good morning meter require connection power socket connected one extension cable also requires change batteries sw,positive,
hello currently taking new applications power connection,neutral,
hi true new connection lockdown,positive,
new connection taken long since payment,neutral,
dad applied power connection kibakis era paid waited waited connection finally died two years ago know skeptical photo still waiting,negative,
applied connection since last year nov tala team never even visited costing quotation saying please,positive,
good evening fabrice new connection please visit offices apply online youll need copy id pin copy sketch map premise youll advised process details thank ef,positive,
much connection cost currently,neutral,
nifunzwe kunyamaza juu know resorted calling private entity fix sparking exploding lose connection,negative,
power casuarina area near kilili baharini malindi seeml like problem connection main power line check dm meter,negative,
applied power connection kapsabet branch th april date quotation reference number expect children access online materials without power,positive,
dear month ago electrically shocked compound due illegal connection electricity live wire left hanging around unknowingly stepped itthe reported nothing done,negative,
good morning day electricity apparently floors apartment lights except mine mimi sina hizo connections pay tokens expect electricity mtr tafadhali,positive,
dear kplc lost power abruptly around hrs kindly assist account number also advise prepaid connection huge bill last year unread meter repeated ill loose connection coz incomes covid,positive,
hi would like get statement village power metre last mile connection would like know much ksh recoverable far paid,positive,
itabidi mshughulikie hii issue watu wajifanyie guys call illegal connections,negative,
ref e issued th january new connection still waiting anyone listen,neutral,
application lodged tala january year despite visiting kplc offices electricity house every month since effort seems connection neither quotation sent operations kplc ground halt,neutral,
nothing done application new connection almost weeks agocreating reference dcs system doesnt take minutesthis never compete despite enjoying monopoly,positive,
meter maili saba opposite chiefs office power plz check connections problem passisted long look end solution,negative,
hi bought tokens yesterday prepaid account number feed ciu connection please help dark,positive,
possible include consumption values bill get via queries post paid connections transparency help build trust btwn consumers many incidences wrong meter readings used billing,positive,
meter number home connection days httpnowits otok near kendu bay assist restore,positive,
waiting power connection since paid ksh fee long wait,neutral,
whats wrong systema customer paid new connections money reflected systems yetstill quoted status odklxnrs confirmed ksh sent kplc new applications account e pm,negative,
please check connection limuru lights since morning,positive,
arent getting power connection malaa area yet submitted applications last year one,neutral,
reliable internet power connection majority households school going kids parents even smartphones,neutral,
hapa lucky summer ni test ground ama power inatoweka anyhowly going connections every day dciodpphandsoffnyakundi,positive,
good morning shadii new connection please visit offices apply youll need copy id pin copy sketch map premise youll advised process details thank ef,positive,
areas like siaya county cant issue quotation lest fail part bribe illigal legal connection,negative,
pure nonsense many house holds access electricity cartels know people nakuru ngata paid connection still havent received year line think internet access costs come,negative,
power outage south b meter kindly restore power connection,positive,
dont understand connection kenya power rain,neutral,
even im trying respond network internet keep dropping yall joking smgdh fix network internet connections,positive,
rain blackout surely kplc better grid connections doesnt like every time,positive,
hello collins bomet electricity connection last month since thenit hasnt workedwe already issued metre ciubut power,neutral,
day voltage flactuating high ends v single phase connection vitu zimechomeka huku yall need sth,neutral,
labda walianua isinyeshewe end monopoly always shit bastards think us favor example applied connection nyahururu couple months ago keep telling us stories,negative,
true problem kenyans gov develops sewer systems areas formalized settlements watasemakama serikali ilitengeza hizi inamaanisha tuko hapa kihalali way claim connections,positive,
elburgon ward tegat applied last mile connection lines already constructed poles standing since october last year service lines havent dropped yet please follow,negative,
hey bomet jast electricity connection last monthbut since nt workedeverything sorted got meter power,neutral,
lets follow thread communication please applied paid connection sites bgm county dec one site meters connected third active account rented house msa work gave ref number paid,positive,
wait last mile connection geshagi project,neutral,
done uncountable times written numerous emails since recently wife bgm offices talked mr david masinde said charge new connections,neutral,
forced pay someone elses last line power connection debt inside switched meter debtridden meter deliberate delay stopping fraud others scammed switchoffkplc,negative,
replace blown electrical items result poor electricity connection lucky summer junctionref,negative,
good morning im really disappointed frustrated customer paid new connection home bgm dec ref e please facilitate refund impossible get connection wawire wanjala,negative,
enhance readiness counties collaboration ministry energy kenya power lighting company fast track connection phase power various county facilities komeshacorona update,positive,
always behave like kenyans favorall years havent done connections core business,positive,
fast track connection phase power various county facilities fully utilize medical equipment effectively manage covid patients komeshacorona,positive,
kplc charging vat power connection april probably power bills services dont know vat refund peoples money today daylight robbery,neutral,
whoever responsible switching nyamachekisii route connection fair third day row missing news power,positive,
paid new connection months ago submitted certs paper work okway getting corrupt office thika town one approve two months ref e,neutral,
kibra connection illegal electricity rampant ive raised issues cant take action ngojeeni maafa ndio muanze kumbia na kurushiana lawama,negative,
showgenerosity dear kplc ken gen due covid outbreak difficulties kenya kindly offer free power connection next months kenyans,positive,
theres ongoing illegal connection power transformer kibra check inbox,negative,
hey issue visited kikuyu offices report default connections kinoo wardnear mama ngina primary school electric wires intertwined causing electric fire since th month,negative,
coupled unstable internet connection,negative,
many wrong connections outside able spot oneclearly kenya power endangering lives look phase drophaving mind power lines running right left,negative,
called illegal connections paid customers various officesthey compensate affected peopletheir corruption know aware report months safety reason till nealy killed motorist action taken,negative,
could one many customers already much revenue pick new connection application guess okay dropping profits,positive,
please use paybill number payments electricity supply connection coronaviruske ik,positive,
wonder transformers overloaded due illegal connections resulting low voltage ages,negative,
guys need invest heavily tech monitor connections usage lines way avoid cases,negative,
kujeni kangudo rd almost car washing places illegal connections dangerous helped staff connect,negative,
lockdown forces wakenya stay home luxury electricity shoddy transformers illegal connection cartels rd party vendor cartels field day inflated bills covidke switchoffkplc,negative,
happening electricity connection pangani keep fluctuations since yesterday us working homeour bosses believe electricity help,positive,
paid connection submitted certs got approved connection date thika office,positive,
paid new connection submitted paper work got approved months connection ref e,positive,
issue booked tuesday reference number note im reliably informed lots illegal power connections absconding charges technical team ground let map problem,negative,
dear kplc people frustrating imagine given reference number applied new connection electricity nakuru branch th jan tel kplc power connection application referrence e,neutral,
dude si uhame hiyo place mara moja seem always complaining power issue hii connection si genuine,negative,
three phase connection ndenderu week calls havent yielded action metre,neutral,
kindly check power connection business scheduled maintainance,positive,
ni kama hatuelewani technical team reached mum told coming reconnection turn asked come transformer seemed confused said simple connection,negative,
happened one day pr weed illegal power connections company posted dismal results tangatanga failures loot public coffers,negative,
tassia kwa ndege power since friday result illigal connections transfomer repaired someone sleeping job tired begging planning demonstration via,negative,
tassia kwa ndege power since friday result illigal connections transfomer repaired someone sleeping job tired begging planning demonstration,negative,
kenya powerplease disconnect illegal connections seem emerging nooks crannies despotic pole seems left complainer wallowing maisma deceit corruption thank,negative,
let take moment show electricity connection looks number houses pole burned past added supporting post charred one,positive,
applying new connections getting response office years expected waiting time power connection,neutral,
paid money back connection date never comenever refundedim currently acc came mile projectto date send bills like active getting tired friends,positive,
every slum kenya illegal connections nothing done since slums came existence way back,negative,
height incompetence home blackout overnight everyday last one week kplc monopoly many customers would still subscribe darkness connections,negative,
improve services accusing kenyans illegal connection replacing faulty transformer umoja proving quantum physics days yet people got business run kill use ven corona infects us,negative,
abandon service charter applied electricity connection days ago muranga e even estimate date reason field officers means transport,negative,
informal settlements appreciate crackdown illegal connections mulikamwizi enhance security support hr economy knowyourmeter depriving intention pls uphold mulikamwizi noble goal tassia embakasi,positive,
illegal elecricity connection transformer road btw mathari hospital muthaiga square tapping towards mlango kubwa mean people dont see connections ama hao ni untouchable cartels straining bills,negative,
people tapping electricity mlango kubwa openly transformer road going mlango kubwa mathari hospital muthaiga square overloading transformer mean people dont see connections serious,positive,
tassia night embakasi east unplugged power due illegal connections leaving residents total darkness appeal functional mulika mwizi plugged httpsmaroutecomupdate via,negative,
tassia night embakasi east unplugged power due illegal connections leaving residents total darkness appeal functional mulika mwizi plugged provide security ngeta imezidi,negative,
mean meters cable connection applied extra meters months ago upto date received ref meters,neutral,
placed complain may non done u remember faulty connection munyuni prischkaiti constkee wardkivani locationtheir digital learnin since kiliochamnyonge,negative,
kplc incompetent thats making massive losses dad applied connection approved request paid ksh date never thought connecting home rest village grid,negative,
applied connection back approved dad paid since never connected grid last mile came location yet small village skipped kenyans,positive,
whole month designer go ground assess site new connection yet md talking reduced sales reason reduction profits someone job please act fast ref number e,positive,
gave others huge bills compensate consumption illegal connections staff watch,negative,
hi consider writing letter kplc director massive firings due staff power connection fraud might go slow understaffing,negative,
brekko theres illegal connection electricity theres rogue employee receiving bribe tree rots roots branches employees rogue whole company rotten,negative,
id like bring attention existence illegal connection houses kitindo embakasi houses tokenmeter boxes yet electricity reach andieestevecom,negative,
days since bought tokens cant load due connection failure please help,positive,
illegal connections crime fraud prosecute,negative,
kinoti id like direct attention mathare north mca jared okoth allegedly caused neighbourhood lose connection due illegal hook even chapad staff came disconnect hes stima switchoffkplc,negative,
kenya power laid employees found guilty aiding fraud illegal connections crimes consumers illegal power connections victims cartels within system consumersbeware,negative,
illegal connections attributed inefficiencies example applied electricity connection september paid connected date expect desperate client,negative,
hi apply power connection new months ago kitale branch since never received information please assist fast track process reference number e,negative,
hi apply power connection new months ago kitale branch since never received information please assist first track process reference number e,negative,
biggest problem staff members ones issue even meters back doorfor illegal connection find try establish one staff members,negative,
reason people jobless death smes theft lower tariff reduce connection fees,negative,
crackdown sign incompetence instead crackdown issue circular kenya power employees supposed check connections tell work failure get sacked call reinforcement interior dept enforcement,negative,
question whole ward darkness connection illegal,negative,
illegal connections maybe legal connections coming instead undoing work get registered systemits still electricity,negative,
seen news kp losses certainly expected last mile connections auctioned fee payments made directly contractors receipt materials used kp clear kp employees get cut release materials,positive,
cause illegal connections cost supply electricity president kibaki regime maintained flat rate ksh regardless number posts customer required residence course within transformers limit high cost encourages,negative,
safaricom millions subscribers wont hear illigal connection network blackout kplc thousands subscribers cant manage customers reason lucky integrity competition monopoly center mediocrity,positive,
make proper policies tht deter perpetrators illegal connections physical marshelling ideotic people high caliber dci crackdown nature misplaced priority,negative,
kplc disgrace kenyans inflating bills connection fees poor customer service,negative,
lonrho house international trunk connection keter working kptc would know talking know know thats started,neutral,
wondering managed disconnect connections pale kuna mini grid,neutral,
get know energy cs approved connections kenya power monopoly another ghost power supplier dont know dig people culprits mwananchi,positive,
whats connection day long blackout muranga town,neutral,
course illegal connections meter tampering enabled staff,negative,
kenya power lays staff crackdown illegal connections gains momentumhttpsbitlyaapnv lm,negative,
address real issue affecting kplc made connection expensive give room staffs collect bribes cheaper connections go back k connection fee hii ingine ni porojo,neutral,
energy cs hon charles keter kenya power mdceo bernard ngugi dci director george kinoti speaking crackdown operation tasia estate nairobi curb theft electricity illegal connections lm,negative,
sad company loosing alot due corruption illegal power connections think solution fix problem lasting solution please contact interested since end problem,negative,
thats kenya power itif illegal connection esp kwa slum take transformer,negative,
run campaigns rewards ensure consistent power supply well increased per connection usage raise revenues rein expensive deliberate sabotage results nighttime work hence payment overtime staff idle day away,positive,
solve kplcs problems require serious change manager restructure organization make regional commercial engineers go sell connections customers forget tenders contractors work using kplc staff office time,negative,
hey im trying feed tokens keep saying connection fail kindly assist asap,negative,
peak incompetence whoever said burn house get rid rats must talking kplc wonder sort brains run institutions best solutions emerged kplc address illegal connections corruption,negative,
two tformers installer years agopost wires put connection homes nanyuki contractor called angelic advise,neutral,
still waiting assisted new connectionits months,neutral,
economical transformer serve one entity yet serve households around take households get connections transformer within circumference,neutral,
kindly confirm long take new power connectionwe applied paid new connection september connected since theni visited kiambu office several times assisted,positive,
hi new connection already old post paid meterplease clarify advicefw,neutral,
good evening need information meter need connection power socket connected one extension cable meter use batteries replaced meter number sw,positive,
called connectionsjust like trending videonot influencing tweeps get footage,positive,
experiencing power failure area whereby one line affected reported problem severally wonder phase supplying us keep failing might lose connection transformer,negative,
good progress country however government needs subsidize connection fee majority citizens fall lowincome earners cannot meet cost invoicing peasant farmer rural baringo us ridiculous renewableenergy,positive,
take months new connections got quotation november e yet connected wonder gave iso certification taken back nakuru,neutral,
hi cant leave people blackout fridayno wonder resort illegal connections coz u dont respond emergency migorioruba kamadaga,negative,
hey havent lights since yesterday pm please check restore connection mtr,positive,
need urgent assistance connection meter days power,positive,
donholm savannah estate power since pm plans restore connection account number,positive,
many people connected cartels without prerequisite documentations even meters missing many connections,negative,
utility corrupt illegal power connections rampant let go around country disconnect dangerously hanging cables done cartels,negative,
long take customer connected paying necessary quoted fees new connection since amusha youth organization ref noe taken almost year,neutral,
applied connection june got wrong quote k single pole months crazy followup revised paid octnov todate yet get powerincompetence inefficiency useless one roof,negative,
gituru kandara muranga county power since dec please check area connection,positive,
got home half building blackout seems problem wd connection please help ac,positive,
whats happening power connection around nyayo gate b embakasi experiencing power flactuations since morning till issue resolvedkenya powerin era century heading dissappointments downtime,neutral,
sent naivasha last year ive never seen connection tell grandmother pays k connection back till today connection would feel sitaki stories sasa tuekeeni stima,neutral,
need connection please,positive,
governor seems concerned spent k buy poles plant expenses need connection mama kirigo mama gakunga baba chiroti deserve electricity home called,neutral,
punish innocent customers somebody else sin disconnected power stage twokawangware next omollos office reason kinyozi done illegal connection cant arrest charge culprit,negative,
reference e paid guys full amount connection n herestill dark kindly b profession n sort problem,positive,
kindly assist desperate community willing pay connections hurdle transformer unwilling migori office radius meters stolen transformer insecurity rife economic activity grounded,negative,
households migori suna west ragana ward area st enoch academy tom mboya ragana primary school electricity connection yet asking basic rights denied,negative,
poor network connection,negative,
see post break considering still come fix alleged illegal connection keep guys whats going since lights went keep posted increases rape cases enhanced criminal activities,negative,
normal takes long get elec connection paid fee signed wayleave app inspections done tell poles stuck ruaraka number e cc switchoffkplc,negative,
reference e paid guys full amount connection n herestill dark come guys got b serious disappointed u since process commenced march last year date nothing,negative,
long take new connection done payments made,neutral,
kplc guys scaled mothers wall pulled power pole compound different site refused identify extremely rude wayleave requested ac illegal connection,negative,
entire area kantafu phase without electricity connection theres transfomer aroundkindly act urgently,neutral,
lastly meters require connection power socket connected extension cable installed new batteries please done clarify inbox sw,positive,
need additional info us best assist please share following meter need connection power socket connected one within house extension cable changed batteries installed meter sw,positive,
please ask connection paid november nothing done,positive,
please come kangemi investigate iam still darkness since last year due illegal connection appreciate,negative,
sales due connection isnt internal threat customer like applied power january feb hes connected yet think revenue come,positive,
jokers mean guys dont know illegal connections mukhuru kwa njenga,positive,
bought registered didnt used connection told pay accumulated standing charges amounting ksh,negative,
yeah alot illegal connections mostly mashinani,negative,
bridge lunga lunga road donholm next ibera africa see many illegal connections,negative,
hiplease note meter connection fee ksh every transaction made deduct amount paid debtfw,neutral,
looking illegal connections serve customers without discrimination please,negative,
guys plz visit mukuru kwa njega area many illegal connections dont visit friends anymore even earthing connected iron sheets happens build pathetic housesdisaster waiting,negative,
sort power issues first stop incompetence love child power connection bribery,negative,
every slum illegal connection cartels come bribe propagate syndicate,negative,
killing illegal connections hook metre applied august last year naskia hamna meters au ni hongo inatafutwa,negative,
never ever snitchthis guys doe long taken us grantedthey talk illegal connection think interest common mwananchi later learn benefiting corrupt mf circle,negative,
even citizens might knowing illegal connection may feel hard report guys exposure recent scam office kenyapowerscam illegalconnectio,negative,
paid last year still waiting connection application number e,positive,
applied connection may fully paid required amount taken long connected get assistance,neutral,
illegal connections transformer overloading end resulting low voltage,negative,
challenge guys staff attitude starting topa customer applies connection legallypays required fee takes year get connected reason hakuna materials,positive,
fact slums illegal connections enough keep busy next years,negative,
staff integrity work per policies treated customers respect courtesy getting information illegal connections people enemies,positive,
